Gene ID, 4-cell embryo, proliferating embryo, late cleavage stage embryo, gastrulating embryo, enclosing embryo, 3-fold embryo, elongating embryo, fully-elongated embryo, L1 larva, L2 larva, L2d-dauer molt, dauer larva, post dauer stage, L3 larva, L4 larva, newly molted young adult, adult
apm-3,7,40,70,56,46,63,77,38,25,19,14,11,13,15,5,9,10
aps-3,55,108,48,146,870,31,48,31,2,17,17,12,16,16,18,33,31
apt-9,4,0.5,5,0.8,0.1,16,6,0.4,6,2,0.8,0.1,1,0.2,4,0.1,0.7
apx-1,45,35,5,5,2,9,5,7,0.8,3,3,2,3,3,3,16,49
aqp-1,0.5,0.1,33,0.6,0.5,4,2,10,22,43,9,3,0.1,46,17,16,22
aqp-2,1,545,3356,201,255,3305,2658,1424,1685,238,573,357,150,91,32,20,31
aqp-3,7,,,,,0.9,,,1,8,7,,,,,,
aqp-4,0.4,0.4,29,17,81,98,21,4,10,39,13,4,4,50,21,2,7
aqp-5,0.4,,0.8,6,0.1,0.8,0.3,2,0.4,0.3,0.1,0.2,,0.5,0.1,,4
aqp-6,19,12,0.7,10,2,1,2,0.9,0.5,0.8,0.5,3,1,13,2,0.4,1
aqp-7,2,6,12,2,1,96,40,63,170,148,24,7,37,218,61,114,66
aqp-8,0.4,0.5,0.9,0.2,0.2,9,0.6,14,13,38,7,1,10,96,7,67,44
aqp-9,5,0.1,5,0.5,4,0.1,0.9,1,7,11,11,0.6,0.5,4,2,11,7
aqp-10,7,44,238,216,289,103,168,82,36,69,28,16,29,102,45,41,22
aqp-11,4,23,83,48,55,62,83,42,6,41,28,18,37,66,46,51,25
arc-1,4,5,23,10,8,23,25,19,12,14,21,11,16,12,5,7,5
ard-1,57,164,88,242,560,53,69,47,27,135,74,69,95,139,135,157,95
arf-1.2,105,562,1143,522,295,674,601,612,259,337,204,141,223,349,137,148,183
arf-3,198,836,1128,749,856,1003,829,703,310,438,270,246,294,496,252,302,328
arf-6,7,38,58,42,37,70,60,46,23,14,15,17,14,28,16,23,24
arg-1,0.2,,,,,0.1,,,0.2,0.1,0.3,0.1,,0.3,0.1,,0.5
ark-1,10,11,18,4,0.9,57,30,47,19,17,15,12,12,11,3,9,18
arl-1,9,39,70,63,68,65,72,57,13,38,29,25,30,40,28,36,27
arl-3,20,6,0.5,3,24,28,0.3,0.7,10,10,2,14,2,2,0.9,8,8
arl-5,17,37,26,55,50,32,45,20,9,9,8,8,9,10,6,20,12
arf-1.1,0.4,45,0.1,0.9,0.4,3,0.1,2,1,3,3,0.7,3,1,0.6,4,0.3
arl-7,0.8,0.2,0.1,3,0.2,2,0.2,0.9,1,1,1,4,51,0.8,2,4,0.2
arl-8,127,138,119,110,73,141,116,111,80,73,68,51,62,66,40,100,96
arl-6,4,2,3,3,8,2,8,0.3,0.7,0.2,0.3,15,0.6,3,19,4,9
arr-1,10,41,41,45,44,46,43,40,23,17,18,18,18,10,4,7,15
aars-1,2,2,8,5,2,8,9,7,5,7,6,8,8,9,3,9,6
aars-2,99,108,32,58,14,48,36,46,39,73,46,52,79,78,34,76,146
art-1,56,128,157,150,68,131,156,109,62,207,72,74,83,219,110,149,137
arx-1,16,35,61,28,24,67,58,54,77,49,19,19,22,33,12,31,35
arx-2,49,62,95,70,65,84,85,73,164,68,47,41,53,59,21,70,58
arx-3,38,74,84,74,73,107,83,78,103,59,36,46,50,50,21,47,48
exos-4.2,61,47,18,47,66,7,13,7,4,8,16,17,27,11,9,25,45
arx-5,38,40,100,104,119,84,97,48,9,45,35,24,34,30,28,37,49
arx-6,15,70,190,158,366,128,148,89,68,60,43,40,52,69,31,70,68
arx-7,33,66,56,101,107,64,59,39,11,27,23,13,20,23,28,37,44
asb-1,123,265,33,142,75,37,33,33,9,28,37,45,47,69,46,177,140
asb-2,26,152,173,269,386,231,160,268,243,559,311,315,330,483,283,231,187
trip-4,13,32,25,28,59,15,20,10,23,18,15,23,17,16,12,20,31
asg-1,146,398,148,675,653,101,151,82,10,186,134,77,107,201,228,250,265
asg-2,43,135,142,216,192,197,168,212,53,438,224,141,169,452,393,229,167
asm-1,8,1,4,5,6,0.2,13,32,5,4,5,1,14,3,3,10,3
asm-2,11,0.2,0.1,13,0.2,0.1,3,10,8,9,9,0.2,28,4,6,0.1,10
asm-3,6,,0.1,24,0.1,2,0.2,0.5,4,19,0.2,11,,0.2,0.1,,0.1
asp-1,34,18,2,0.4,0.9,127,5,441,1685,2183,238,41,250,2609,1620,1283,2246
asp-2,7,3,1,0.2,0.1,51,6,86,147,366,16,5,58,593,231,360,259
asp-3,11,7,2,0.3,0.1,100,9,168,407,803,85,31,102,1042,424,658,726
asp-4,5,48,434,153,450,118,336,56,155,144,188,205,156,183,120,105,194
asp-5,8,3,0.9,0.3,0.3,48,2,148,2029,943,97,24,75,934,519,386,1178
asp-6,15,5,0.1,0.1,0.2,25,1,177,4547,961,186,31,124,1323,500,521,1588
atf-2,39,129,0.8,1,8,3,198,119,10,17,3,7,105,2,1,57,330
atf-5,2,24,104,33,35,229,129,181,126,149,106,72,65,119,58,52,41
atf-6,5,11,41,10,3,41,44,28,64,15,14,22,22,11,3,4,7
atf-7,44,70,179,62,42,94,123,114,314,65,74,61,80,65,20,50,77
atgp-1,3,31,74,8,9,254,202,189,128,60,37,35,41,38,18,13,15
atgp-2,6,10,15,4,1,78,27,58,42,26,30,16,19,23,5,7,7
atl-1,6,5,10,6,0.9,7,12,7,5,8,9,11,12,11,3,16,11
atm-1,11,12,8,6,0.6,9,7,9,5,4,4,3,3,4,1,7,12
atn-1,3,9,16,9,4,52,35,76,49,99,124,22,21,123,36,43,39
atp-2,552,1659,554,955,392,651,455,746,1152,1739,747,848,882,2038,654,1261,1388
atp-3,144,456,257,577,624,258,226,231,403,496,290,347,291,458,317,361,325
atx-2,79,84,107,41,16,73,82,86,81,54,51,38,38,72,29,31,146
avr-14,0.4,1,3,0.8,0.4,13,5,18,13,10,14,11,14,5,2,2,0.8
avr-15,0.3,0.3,0.6,0.2,0.3,4,0.1,8,39,8,42,36,35,7,2,4,3
baf-1,158,491,597,859,1055,118,265,100,26,172,72,58,98,145,93,165,194
bag-1,53,75,64,103,65,28,49,24,4,28,19,21,23,41,33,66,60
bam-2,1,7,29,4,2,54,41,51,48,20,21,13,11,17,4,4,6
bar-1,0.1,1,8,0.5,0.7,21,17,18,18,18,15,13,18,13,4,5,3
bas-1,0.4,1,4,0.7,0.8,8,4,14,11,16,10,4,13,25,11,11,7
pah-1,0.3,4,24,3,11,45,29,64,150,70,49,43,56,77,25,53,39
bbs-1,2,1,1,3,2,2,0.3,0.1,0.5,0.3,0.1,10,6,3,7,4,0.2
bbs-2,0.4,3,3,0.5,0.3,3,4,2,0.3,0.1,2,0.2,1,12,0.3,0.7,11
bbs-8,9,5,0.6,0.8,13,15,0.1,0.1,4,4,1,4,0.7,0.5,0.3,4,4
bca-1,6,5,4,5,0.8,8,4,7,24,35,11,8,18,21,13,16,12
bcc-1,6,0.3,0.1,13,0.5,4,1,3,17,14,4,0.1,55,1,13,0.1,0.4
bec-1,7,25,39,35,26,31,41,25,16,19,49,48,36,17,17,24,25
ben-1,13,31,69,18,17,119,114,86,24,31,6,5,7,13,12,17,13
bir-1,47,172,302,389,535,129,163,71,40,35,28,30,41,24,12,61,66
bir-2,2,0.7,39,3,5,24,3,10,3,7,8,4,25,2,46,7,14
bli-1,0.7,5,0.4,2,0.7,0.1,0.1,2,0.3,0.3,119,0.9,0.1,45,2,0.1,0.3
bli-2,0.4,115,0.6,0.2,1,0.2,0.5,5,180,212,4,0.3,4,0.4,0.2,0.1,0.4
bli-3,1,4,14,2,0.7,22,17,33,10,16,24,8,6,14,6,5,5
bli-4,21,32,23,13,3,42,33,49,19,30,45,32,41,32,18,34,37
bli-5,6,,0.5,0.2,0.3,7,2,0.3,7,0.7,0.9,0.3,0.4,0.5,2,6,0.3
bli-6,169,,,0.7,0.1,0.8,0.3,460,1156,27,0.1,65,,0.6,0.1,,0.1
bmk-1,2,4,26,40,8,19,25,63,10,7,10,31,55,8,40,11,10
bpl-1,3,2,7,2,2,6,6,7,15,7,11,11,11,8,4,10,8
bra-1,7,29,87,101,168,33,59,24,10,7,8,7,9,5,2,5,9
F23H11.5,162,808,316,1128,1662,340,240,267,140,719,305,240,372,518,592,391,555
brc-1,1,2,17,16,5,8,8,21,5,3,5,11,19,4,16,5,7
brd-1,0.9,3,15,22,5,12,17,24,5,3,7,15,27,3,19,5,6
bre-1,0.8,8,31,13,8,153,68,85,7,34,26,13,19,41,16,11,4
bre-2,9,1,3,5,9,0.3,0.8,2,3,8,4,10,0.8,3,1,7,8
bre-3,19,15,14,7,1,34,23,29,72,27,83,41,42,31,16,39,34
bre-4,7,8,7,6,4,9,7,12,9,9,14,9,9,12,5,8,14
bre-5,13,10,18,23,19,9,14,8,4,5,7,10,9,9,5,16,6
brf-1,23,21,27,17,5,17,30,16,13,10,12,17,18,11,3,21,23
bro-1,1,19,2,5,0.1,3,23,2,0.8,0.2,5,1,6,55,3,3,27
brp-1,6,16,3,3,1,140,13,214,2091,241,1175,1867,1278,206,87,116,460
btf-1,10,10,8,5,0.9,5,8,6,2,6,6,7,6,9,3,13,17
bub-1,52,162,65,91,72,19,43,16,3,17,12,12,15,19,13,53,75
byn-1,19,95,118,142,119,81,100,77,255,91,142,352,322,68,27,63,56
cab-1,2,7,55,12,10,63,60,98,1927,206,333,468,456,72,27,32,45
cah-1,2,6,7,10,9,30,9,26,9,6,10,9,8,4,1,3,2
cah-2,0.1,0.7,1,1,0.3,18,3,15,5,5,10,8,9,2,1,1,0.3
cah-3,0.3,1,51,0.3,0.1,2,0.7,10,72,60,114,71,0.3,97,30,65,27
cah-4,3,3,11,3,1,25,24,26,154,103,155,84,119,142,63,103,78
cah-5,0.2,4,22,1,0.4,56,13,37,19,32,31,11,0.7,29,13,14,16
cah-6,50,10,2,3,34,0.3,2,2,18,43,6,4,3,2,1,31,29
cal-1,19,7,8,3,18,0.3,0.7,0.6,17,28,15,3,1,13,3,23,21
cal-2,0.3,0.7,2,0.3,0.4,21,5,20,108,20,42,70,47,12,6,6,3
cal-3,5,2,12,3,1,7,0.1,1,3,5,1,4,2,1,8,3,2
cal-4,30,0.8,20,1,0.1,0.2,6,0.1,18,26,4,0.1,2,2,0.8,0.2,21
cam-1,41,106,226,62,29,155,164,134,47,30,21,17,20,15,6,16,43
cap-1,60,101,221,111,112,191,193,136,64,67,59,46,51,58,28,56,49
cap-2,69,178,220,234,306,171,160,144,146,84,106,114,80,78,60,77,108
cas-1,11,26,33,20,8,43,41,29,64,27,40,29,27,30,14,15,25
cat-1,4,1,5,0.3,0.3,13,7,2,6,2,0.9,2,2,0.4,4,0.7,2
cat-2,0.3,1,0.4,0.6,3,0.4,0.2,0.3,3,0.9,3,4,1,0.9,0.5,3,0.4
cat-4,0.3,1,19,7,12,16,18,12,42,23,72,14,30,57,23,54,23
cav-1,52,1076,4850,3120,3723,559,2296,391,12,26,2,0.7,0.7,0.6,7,5,176
cav-2,30,13,1,4,3,14,7,18,8,5,1,0.6,20,13,26,0.9,45
C04A11.t1,7,,,,,1,,,3,0.7,,,,,,,
C05C9.t1,,,,,,,,,,,,,,,,,
cbp-1,34,120,199,38,10,100,154,100,79,54,50,46,39,28,12,28,66
cca-1,16,2,2,6,15,0.4,0.4,0.2,8,9,5,8,1,1,1,8,9
ccb-1,3,7,12,3,2,55,30,64,52,32,27,21,19,15,6,5,4
ccf-1,84,274,124,107,79,120,101,93,48,46,47,38,51,48,26,62,118
ccg-1,0.1,1,8,0.7,0.5,13,10,49,380,101,508,312,317,88,42,48,62
cox-5B,85,404,204,509,672,226,255,198,71,375,217,177,257,333,305,282,270
cyp-13A7,0.7,,,,,0.1,,,0.2,0.3,0.3,0.6,,0.3,0.6,,0.3
cyp-14A5,6,7,4,2,5,0.6,0.1,0.2,6,35,5,3,0.3,3,6,37,28
cyp-31A1,0.3,4,29,19,35,16,25,18,21,21,28,33,42,19,14,10,5
cyp-44A1,2,2,18,11,3,9,7,15,5,5,10,12,10,5,11,7,8
ccr-4,117,139,144,109,24,93,109,81,69,50,81,42,36,33,23,56,107
cct-1,179,329,86,166,131,109,78,139,63,212,115,138,164,175,72,171,234
cct-2,126,93,48,68,31,85,54,125,64,178,89,137,158,142,52,174,175
cct-4,101,171,57,144,42,116,67,136,197,213,147,457,293,190,77,197,177
cct-5,185,383,185,435,331,168,130,231,290,353,247,429,397,314,111,311,301
cct-6,115,91,58,61,42,77,49,115,60,200,108,132,162,169,64,164,201
cdc-6,19,29,33,47,21,14,24,12,6,11,11,21,20,13,7,34,29
cdc-14,29,54,100,44,16,49,89,47,106,19,34,28,28,13,6,25,35
cdc-25.1,65,118,19,29,12,24,21,20,8,8,12,20,19,16,9,80,89
cdc-25.2,23,148,194,116,67,73,147,70,8,9,5,4,3,5,2,6,24
cdc-25.3,0.2,,2,0.5,18,0.1,3,57,0.6,0.5,31,38,39,5,2,1,11
cdc-25.4,0.2,,0.1,157,2,2,0.4,0.1,0.1,0.4,2,0.1,,0.3,0.2,,3
cdc-42,99,132,328,138,74,257,263,201,203,80,108,94,105,115,46,109,102
cdd-1,0.1,2,26,4,11,25,41,20,45,27,9,7,9,22,23,11,6
cdd-2,52,108,23,44,32,22,23,16,17,30,19,23,21,26,17,43,48
cdf-1,7,17,17,9,3,34,24,28,29,16,20,14,14,14,7,11,14
cdh-3,3,6,0.7,21,13,2,0.4,0.5,6,0.7,5,38,3,0.5,0.9,0.7,0.8
cdh-4,18,39,82,17,2,49,81,44,8,17,5,3,4,4,1,4,10
cdh-5,1,88,0.5,10,54,1,0.3,0.4,20,2,4,42,7,2,0.8,0.9,1
cdh-7,2,,,0.1,0.3,41,1,5,0.2,0.4,0.1,0.3,,0.1,0.2,,0.2
cdh-9,9,100,0.7,12,43,0.2,0.9,1,8,1,3,28,7,2,0.6,0.8,0.5
cdh-10,5,4,0.3,1,0.7,32,0.2,0.3,40,2,0.3,0.3,0.2,1,0.2,0.4,0.2
casy-1,7,18,18,6,1,113,40,172,584,87,153,170,159,33,9,10,18
cdk-1,9,17,110,190,46,166,328,317,36,21,30,101,314,21,143,29,26
cdk-4,6,6,5,37,6,8,59,57,5,3,3,27,32,2,9,3,0.6
cdk-5,26,25,35,17,21,43,37,31,42,21,27,31,32,20,11,35,41
cdk-7,25,55,49,62,43,26,38,23,14,13,18,26,27,16,11,38,28
cdk-8,19,17,40,22,13,26,37,24,11,13,18,17,19,16,8,27,42
cdk-9,13,45,34,36,21,27,27,20,13,17,21,22,23,16,7,18,24
cdl-1,165,547,311,436,257,87,180,71,35,34,20,28,29,27,13,79,159
cdr-1,2,,,0.2,0.2,2,5,3,1,0.8,0.6,0.4,,1,2,,1
cdt-1,8,7,14,48,11,25,22,66,6,5,7,29,51,2,32,5,7
cec-1,7,56,393,243,391,144,327,109,130,45,64,39,49,30,20,19,12
