GeneTag,PHI,log10.PHI,Std.Error,log10.Std.Error,0.025,0.975,log10.0.025,log10.0.975,,
snpc-3.3,1.593173623,0.19963938,3.37E-05,9.90E-06,1.31370894,1.968142908,0.118499104,0.294056564,,
Y48G1BL.8,1.521078467,0.177607223,4.38E-05,1.26E-05,1.117614086,1.989788652,0.048291866,0.298806942,,
Y48G1BL.5,1.725523829,0.234030783,3.70E-05,1.08E-05,1.451701622,2.150641342,0.161877362,0.33256798,,
Y48G1BM.6,0.929116726,-0.033552591,1.44E-05,8.14E-06,0.802898695,1.045263171,-0.095339249,0.019225649,,
Y48G1BM.7,0.920288503,-0.047992006,3.90E-05,2.24E-05,0.543261143,1.305895594,-0.264991496,0.115908455,,
Y48G1BM.2,0.567023814,-0.256861925,2.01E-05,2.23E-05,0.33166188,0.728468997,-0.479304513,-0.137588927,,
Y48G1BM.8,1.000914216,-0.048181154,9.55E-05,4.28E-05,0.34101308,2.183678605,-0.467229191,0.339187995,,
snpc-3.2,1.877073884,0.271214694,3.60E-05,9.51E-06,1.631199183,2.345254441,0.212506995,0.370189924,,
Y48G1BR.1,1.189119458,0.073139548,2.13E-05,9.31E-06,1.005729994,1.398492291,0.002481401,0.145660075,,
marc-4,0.958889246,-0.023401599,2.62E-05,1.47E-05,0.722989849,1.201224819,-0.140867985,0.079624296,,
marc-4,1.507454395,0.17082651,5.52E-05,1.63E-05,1.008481716,2.087668471,0.003668017,0.319661469,,
ztf-3,0.887192488,-0.060715735,2.83E-05,2.08E-05,0.61983141,1.123272164,-0.207726509,0.050484995,,
ztf-3,0.897340059,-0.054810632,2.80E-05,1.92E-05,0.63793782,1.137984766,-0.195221678,0.056136426,,
ztf-3,0.818931222,-0.103103794,3.58E-05,2.93E-05,0.459755433,1.143504655,-0.337473154,0.058237937,,
ztf-3,0.951598227,-0.027840545,2.70E-05,1.70E-05,0.700768704,1.184169955,-0.154425345,0.073414034,,
ztf-3,0.9716416,-0.017850623,2.60E-05,1.55E-05,0.739913529,1.203930931,-0.130819035,0.080601571,,
ztf-3,0.944935322,-0.033472136,3.37E-05,1.94E-05,0.614515758,1.258761341,-0.211467493,0.099943396,,
C53D5.1,0.879921198,-0.063110679,2.52E-05,1.99E-05,0.649788344,1.084760638,-0.187228174,0.035333835,,
C53D5.1,0.882574201,-0.060658075,2.50E-05,1.72E-05,0.650588375,1.095123831,-0.186693703,0.03946323,,
C53D5.1,0.863482535,-0.069588736,2.41E-05,1.61E-05,0.631730089,1.063116841,-0.199468944,0.026580997,,
C53D5.1,0.811881959,-0.098680854,2.54E-05,2.00E-05,0.572688859,1.034421091,-0.242081274,0.014697366,,
C53D5.5,1.178429842,0.067975931,2.27E-05,1.30E-05,1.005943205,1.374350155,0.002573443,0.138097393,,
C53D5.5,1.201509953,0.075690091,2.43E-05,1.47E-05,1.019757456,1.406807387,0.008496888,0.14823464,,
imb-3,2.082485437,0.316176891,5.02E-05,8.59E-06,1.878066218,2.714599256,0.2737109,0.433705673,,
Y48G1A.7,0.985986829,-0.010319327,2.52E-05,1.30E-05,0.755741067,1.223209983,-0.121627094,0.087501016,,
xpo-2,1.756824613,0.242400199,3.07E-05,1.06E-05,1.582971945,2.164842514,0.199473215,0.335426291,,
xpo-2,1.427065015,0.151139587,3.51E-05,1.08E-05,1.117788062,1.803491626,0.048359457,0.256114128,,
nol-14,1.349262714,0.127876118,2.17E-05,1.07E-05,1.193732366,1.58397885,0.076906964,0.199749348,,
daf-25,1.05096972,0.018829817,2.25E-05,1.02E-05,0.835831253,1.265859181,-0.077881414,0.102385396,,
mbtr-1,1.046225548,0.01697675,2.02E-05,1.07E-05,0.874644631,1.228654365,-0.058168384,0.089429728,,
mbtr-1,1.066182852,0.024434593,2.17E-05,1.28E-05,0.87866529,1.255011879,-0.056176562,0.098647835,,
Y48G1A.2,1.516535878,0.176484361,3.98E-05,1.32E-05,1.162249545,1.909421734,0.065299372,0.280901853,,
Y48G1A.1,0.935344934,-0.031773835,1.72E-05,1.12E-05,0.796674991,1.071411974,-0.098718822,0.029956429,,
R119.1,0.911852539,-0.042858623,1.73E-05,1.11E-05,0.757427605,1.05009869,-0.120658871,0.021230117,,
rnp-8,1.620193601,0.207772627,2.91E-05,8.09E-06,1.414963614,2.004080055,0.150745271,0.30191506,,
rnp-8,1.415776968,0.147345707,3.66E-05,1.13E-05,1.091042919,1.799675724,0.037841833,0.255194252,,
R119.2,1.036314487,0.012194083,2.29E-05,1.16E-05,0.828031594,1.244899906,-0.081953094,0.095134434,,
R119.3,1.302247286,0.11176151,2.96E-05,1.03E-05,1.04171449,1.603639825,0.017748688,0.205106833,,
pqn-59,1.108965635,0.043245178,1.92E-05,7.74E-06,0.937783802,1.301709201,-0.027897277,0.11451395,,
taf-4,0.795874357,-0.106855221,2.34E-05,2.00E-05,0.577325537,0.991508189,-0.238579233,-0.003703694,,
R119.5,0.892889082,-0.053161841,2.07E-05,1.32E-05,0.710154089,1.069509072,-0.14864743,0.029184452,,
R119.5,0.892690063,-0.052407667,1.96E-05,1.10E-05,0.70389629,1.070342295,-0.152491327,0.029522683,,
otub-2,0.643357456,-0.198248208,1.99E-05,1.67E-05,0.425695883,0.8142494,-0.370901342,-0.089242554,,
otub-2,0.599023759,-0.230312273,2.07E-05,1.75E-05,0.365639525,0.784466692,-0.436946904,-0.105425492,,
Y50C1A.2,0.918687284,-0.041669313,2.35E-05,1.45E-05,0.698822625,1.117425019,-0.15563309,0.048218387,,
C07F11.2,0.85862273,-0.072006501,2.24E-05,1.68E-05,0.65748426,1.044257675,-0.182114639,0.018807673,,
tol-1,1.305635452,0.113863699,1.92E-05,1.01E-05,1.18062618,1.49623502,0.072112409,0.174999806,,
W04C9.4,1.623407364,0.2070283,4.08E-05,1.09E-05,1.278010862,2.061069276,0.106534517,0.314092585,,
W04C9.5,1.117623091,0.044132493,2.64E-05,1.36E-05,0.89808221,1.354769492,-0.046683914,0.131865401,,
cutl-13,0.979653418,-0.013016906,2.35E-05,1.32E-05,0.762749284,1.182571873,-0.117618193,0.072827544,,
W04C9.9,1.084051609,0.027679931,3.68E-05,1.71E-05,0.740038303,1.444539919,-0.130745802,0.159729523,,
W04C9.6,0.865126729,-0.066864431,2.11E-05,1.27E-05,0.655680251,1.055369311,-0.183307908,0.02340446,,
W04C9.2,1.567908764,0.190494046,4.76E-05,1.29E-05,1.153117949,2.076887373,0.061873715,0.317412945,,
haf-4,1.777960539,0.248197541,3.20E-05,7.82E-06,1.584088078,2.233433884,0.199779301,0.348972985,,
haf-4,1.843968749,0.264041692,3.47E-05,7.53E-06,1.639189396,2.338596745,0.214629119,0.368955282,,
Y65B4BL.3,1.51154542,0.176695466,3.20E-05,1.03E-05,1.247925694,1.846837729,0.096188726,0.266428732,,
Y65B4BL.3,1.483045936,0.168672308,3.17E-05,9.34E-06,1.209345434,1.842241764,0.082550331,0.265346624,,
Y65B4BL.4,1.396341205,0.142467558,2.82E-05,9.94E-06,1.15475306,1.685129094,0.062489113,0.226633177,,
deps-1,1.436778069,0.15573068,2.51E-05,7.69E-06,1.24626833,1.7474595,0.095611509,0.242406978,,
