Gene_id,3-fold embryo Ce,4-cell embryo Ce,adult Ce,dauer larva Ce,elongating embryo Ce,embryo Ce,enclosing embryo Ce,fully-elongated embryo Ce,gastrulating embryo Ce,L1 larva Ce,L2 larva Ce,L2d-dauer molt Ce,L3 larva Ce,L4 larva Ce,late cleavage stage embryo Ce,newly molted young adult hermaphrodite Ce,post dauer stage Ce,proliferating embryo Ce
WBGene00044026,1251,1584,6062,2811,1770,2268,1102,3126,3484,5714,2465,2731,3777,16502,941,6426,4217,15592
WBGene00044027,5,4,1,17,6,2,3,28,0,250,6,11,4,17,4,1,42,18
WBGene00044028,3,0,24,331,9,6,24,57,20,268,51,339,25,138,10,37,219,13
WBGene00044029,168,1,100,2016,155,58,6,604,31,6897,1649,1284,288,1108,61,108,981,262
WBGene00044030,23,2,26,22,49,81,28,273,82,77,5,57,4,840,59,26,10,163
WBGene00044031,0,4,4,4,6,5,5,18,12,107,2,21,25,13,14,9,5,64
WBGene00044032,86,100,485,47,349,208,22,517,125,195,68,47,103,508,189,321,43,2265
WBGene00044034,2,26,62,29,13,99,94,168,1907,356,25,48,58,268,32,175,6,3208
WBGene00044035,1,3,15,58,1,17,6,238,25,395,36,366,131,1387,8,260,181,70
WBGene00044036,3,1,0,30,7,1,0,3,4,19,1,23,4,7,3,2,30,9
WBGene00044037,88,3,3,52,75,13,9,249,5,1495,16,15,7,334,23,8,15,714
WBGene00044038,65,1,22,19,63,86,58,240,92,499,9,37,12,195,60,21,34,470
WBGene00044039,3,1,16,8,6,15,3,17,9,72,12,1,4,12,7,14,3,26
WBGene00044040,207,0,1,6,628,47,77,203,127,79,2,0,5,7,279,1,5,178
WBGene00044041,0,2,20,427,0,0,4,2,0,5,3,124,24,469,6,32,180,12
WBGene00044042,1,4,25,0,0,0,0,23,0,37,0,3,12,540,1,44,0,27
WBGene00044043,197,0,7,13,75,162,0,319,0,22,352,48,183,1137,6,0,3,398
WBGene00044044,0,3,0,3,1,1,8,13,1,26,15,6,7,4,3,9,4,26
WBGene00044045,154,3,38,316,35,61,3,513,14,1606,121,230,110,526,10,70,356,101
WBGene00044046,0,0,0,0,0,0,0,0,1,10,4,0,6,11,2,0,0,0
WBGene00044047,15,14,44,1,117,208,124,179,894,19,2,1,0,4,104,11,2,2614
WBGene00044048,2,9,0,104,0,1,1,17,1,126,1,51,2,19,3,4,30,22
WBGene00044049,4374,9,877,5208,3514,796,13,6756,111,12977,2197,2854,2830,4973,441,2111,3345,1324
WBGene00044051,6,2,6,6,11,36,2,8,2,351,15,6,2,4,7,2,3,95
WBGene00044052,1,1,1,0,1,3,0,4,5,3,0,0,0,4,1,0,0,156
WBGene00044053,158,10,169,297,377,110,41,324,157,650,71,221,93,1056,103,238,186,1517
WBGene00044054,15,1,2,3,80,16,17,46,52,176,2,3,1,25,21,3,4,117
WBGene00044056,0,0,3,3,1,0,0,8,1,5,1,2,3,8,1,6,1,14
WBGene00044057,4,4,8,0,19,18,33,22,72,35,0,4,4,161,45,19,4,125
WBGene00044058,2770,8,2,6,1728,535,5,1503,15,11,237,112,5,10,126,5,9,411
WBGene00044059,212,1,1,47,112,23,8,576,5,18,61,26,20,163,14,5,52,285
