Gene_id,3-fold embryo Ce,4-cell embryo Ce,adult Ce,dauer larva Ce,elongating embryo Ce,embryo Ce,enclosing embryo Ce,fully-elongated embryo Ce,gastrulating embryo Ce,L1 larva Ce,L2 larva Ce,L2d-dauer molt Ce,L3 larva Ce,L4 larva Ce,late cleavage stage embryo Ce,newly molted young adult hermaphrodite Ce,post dauer stage Ce,proliferating embryo Ce
WBGene00000001,2510,1428,7767,5547,4208,3146,441,5422,1949,14999,2965,2997,1188,2047,1897,4682,4381,14257
WBGene00000002,9774,8,633,831,12554,2052,113,8428,642,9009,1723,1145,1444,1881,2767,503,758,3912
WBGene00000003,5414,45,354,570,7180,2232,118,7831,506,13975,1036,968,1719,1431,1950,799,1213,3948
WBGene00000004,25026,167,1584,3212,33305,8023,1536,34445,3805,33977,5492,3252,1117,1098,13201,629,2512,28756
WBGene00000005,412,4,449,37,595,115,62,565,188,152,530,100,885,1617,296,1306,164,231
WBGene00000006,1396,10,461,3146,425,792,9,4521,46,17178,1709,2352,1185,1477,69,497,3075,1051
WBGene00000007,267,13,344,129,36,51,4,748,16,365,334,517,1388,1443,15,1068,559,117
WBGene00000008,2,3,32,663,0,1,2,8,7,63,26,257,157,186,7,140,355,30
WBGene00000009,340,0,38,193,71,62,4,493,31,476,27,177,42,232,14,29,167,414
WBGene00000010,2609,926,7051,2911,2316,3512,147,5676,2171,11159,1455,1815,1397,2079,933,3342,1813,19070
WBGene00000012,2,1,99,24,10,5,2,25,18,83,7,20,6,942,6,98,20,27
WBGene00000013,4,1,312,2312,3,2,1,18,6,1586,126,786,21,162,4,66,1351,24
WBGene00000014,0,0,1,15,0,0,2,3,0,31,1,8,0,9,2,0,6,8
WBGene00000015,4,0,7,43,1,5,2,4,2,75,5,15,4,54,2,18,16,18
WBGene00000016,4,7,338,1059,4,18,2,105,1,6159,419,971,482,385,6,238,1317,7
WBGene00000017,30,1,351,1667,32,17,5,347,1,23543,553,1168,744,787,9,229,1536,29
WBGene00000018,13905,870,3972,5366,20758,6679,421,28281,2510,16079,3744,4038,2508,2934,7567,1598,4504,25354
WBGene00000019,9,8,207,26,19,4,6,42,12,114,30,13,384,2084,34,852,35,47
WBGene00000020,825,51,2122,4596,983,1263,42,5051,328,56210,5603,2997,2387,2136,417,1329,2669,3909
WBGene00000021,1,11,19,2,4,3,14,43,5,12,20,9,46,1184,28,78,4,60
WBGene00000022,521,34,3873,1215,574,279,13,1944,147,33587,1544,2653,4475,3803,177,2672,2205,743
WBGene00000023,64,30,256,9,195,199,42,240,91,640,33,10,491,2694,151,584,22,591
WBGene00000024,7,0,69,8,1,31,1,296,1,65,188,29,260,7119,5,205,8,324
WBGene00000025,7,1,15,250,10,5,5,142,2,234,6,266,4,6703,6,8,35,338
WBGene00000026,0,1,5,1,0,7,3,26,2,72,8,1,0,84,2,4,2,104
WBGene00000027,20,0,7,3,7,13,5,112,3,98,9,4,13,8368,4,9,0,345
WBGene00000028,0,1,0,3,0,1,0,16,2,22,0,0,2,151,5,1,1,67
WBGene00000029,0,2,46,4,2,3,3,9,2,2,109,6,329,1505,6,135,3,6
WBGene00000030,0,4,49,176,0,10,0,17,1,30,66,62,237,1359,1,104,55,19
WBGene00000031,237,2,250,396,34,2528,7,12611,21,4747,1079,5038,1197,6120,12,433,67,6915
WBGene00000032,0,0,0,18,0,0,0,0,0,0,1,1,3,7,0,1,5,0
WBGene00000033,60,4,216,49,4,1132,4,2415,5,949,568,1274,833,3996,4,420,57,1593
WBGene00000034,512,1,385,295,28,2683,7,6224,22,1803,722,4611,1009,9227,5,550,36,3204
WBGene00000035,3941,15,519,1679,2134,961,6,4887,51,5156,648,1395,574,973,271,480,1471,1384
WBGene00000036,2831,8,654,1948,2705,1148,95,5113,864,20965,5332,2585,638,1269,584,810,2118,2419
WBGene00000037,9193,5,219,1338,5475,3051,48,14108,309,26788,2121,1439,308,441,988,135,961,5262
WBGene00000038,531,8,28,422,642,174,8,1373,30,8642,387,203,98,129,139,33,202,1012
WBGene00000039,76062,15,751,1656,79070,21634,472,74511,1111,1905,34736,8479,18383,23989,13898,856,1025,31847
WBGene00000040,10970,1330,24019,4210,19327,18240,7893,44246,16709,126227,27019,3297,40065,30070,14864,23595,9466,72349
WBGene00000041,28872,6176,59403,68426,19166,19498,716,68489,6787,178410,43060,50786,31276,45622,4820,45303,53969,55855
WBGene00000042,372,4,30,554,86,141,9,943,15,2066,863,540,125,301,17,85,540,235
WBGene00000043,157,8,34,207,16,59,8,628,11,9093,125,130,77,1061,17,82,222,394
WBGene00000044,57,8,42,879,17,81,132,496,258,4803,243,1125,67,677,100,65,537,541
WBGene00000045,51,4,14,139,22,15,8,165,6,406,30,90,30,107,13,14,93,142
WBGene00000046,575,4,14,138,745,127,108,1277,51,1579,65,86,115,492,251,59,132,888
WBGene00000047,3881,6,34,401,1772,952,11,5835,48,3157,592,548,405,609,182,182,564,1002
WBGene00000048,614,8,24,112,189,124,6,1354,32,799,509,113,41,94,20,32,74,325
WBGene00000049,166,6,22,64,27,71,3,568,14,731,39,42,35,88,14,27,25,346
WBGene00000050,338,9,51,150,169,90,4,982,39,1026,79,135,78,485,43,91,260,763
WBGene00000051,1116,9,95,571,432,248,14,1992,50,3722,802,575,194,252,72,111,628,474
WBGene00000053,294,3,5,325,266,49,10,524,17,1163,898,286,49,300,40,32,393,452
WBGene00000054,501,9,93,856,423,141,1,1079,11,1825,278,758,318,665,95,184,669,183
WBGene00000055,484,34,162,656,261,261,45,1606,258,3131,427,786,488,767,107,330,620,1135
WBGene00000056,62,16,143,369,25,125,27,1521,81,10283,76,381,73,2410,38,109,404,10419
WBGene00000057,33,14,108,843,14,41,5,159,14,3171,130,633,91,486,11,387,338,87
WBGene00000058,549,13,45,690,315,132,18,1018,43,11033,663,561,124,139,66,65,585,240
WBGene00000059,111,12,71,571,67,105,11,909,42,2802,208,628,104,687,50,81,692,1135
WBGene00000060,46,6,21,1443,46,16,4,307,16,1841,139,932,80,439,24,35,824,303
WBGene00000061,97,5,7,129,134,64,11,646,11,2627,52,160,81,156,63,33,168,349
WBGene00000062,120,9,5,550,41,31,3,282,9,2335,249,536,87,229,20,18,425,270
WBGene00000063,26648,1152,18258,11707,14281,9283,1579,63952,9254,39634,21241,57691,33394,96708,6438,23650,7642,55647
WBGene00000064,45008,12971,144667,17919,44141,64774,9835,52623,80021,72127,22956,13681,37408,94489,20660,64901,19887,602545
WBGene00000065,36660,1539,20255,14069,25702,12054,1417,73992,11576,60823,54233,57311,46799,83868,8232,28063,8076,73382
WBGene00000066,250492,827,165319,78461,294102,141916,16229,447479,38715,1557788,145528,334153,232329,453312,93268,91865,61485,225344
WBGene00000067,32020,182,46449,5831,19010,17497,431,62648,10790,95923,56432,35324,118885,194727,3021,59289,77349,21366
WBGene00000068,10764,55,647,7822,6575,3119,24,16984,251,34973,6467,7412,1891,1917,1162,980,4171,5527
WBGene00000069,669,9,59,1436,419,203,9,1093,28,9069,1058,777,186,188,81,114,903,387
WBGene00000070,7092,15,858,2848,6506,2574,55,10552,248,11845,2509,2286,3105,3029,1630,867,2754,7094
WBGene00000071,665,14,600,1925,876,243,31,1569,185,5758,394,1666,596,914,313,803,1521,535
WBGene00000072,1367,10,535,796,914,418,20,2700,109,11381,1732,770,1152,1561,202,941,702,837
WBGene00000073,2615,504,1436,21660,2731,1150,408,4586,2756,7107,927,14762,1198,2718,976,1480,12690,6733
WBGene00000074,4647,679,4138,3078,3733,3551,52,8084,677,35837,2653,4993,1631,2851,1050,1182,1956,8078
WBGene00000075,1001,606,1958,753,1126,701,97,2282,410,2428,602,586,865,1007,424,1179,540,4565
WBGene00000079,8675,1185,12541,9442,14615,11246,1719,25144,8157,13533,5949,4763,4505,4563,8499,6556,5492,51409
WBGene00000080,4218,2165,8311,4697,7321,5353,1750,9954,6005,7363,1409,2645,2026,3184,4127,6279,3360,29696
WBGene00000081,9692,33,8597,5967,8546,5278,258,20559,2406,30489,4905,9075,11695,18732,2099,11546,10348,6203
WBGene00000082,2928,17,213,205,1381,2328,148,9486,158,2501,1165,1021,424,3750,371,352,94,2957
WBGene00000083,968,11,4442,4037,1375,1033,76,3368,163,28366,5705,7944,7716,9242,513,3890,3053,1050
WBGene00000084,793,10,349,397,280,104,12,1724,57,1476,342,393,1007,667,56,986,432,281
WBGene00000085,290,3,52,565,92,135,4,652,7,3281,193,417,84,213,24,88,261,103
WBGene00000086,9875,25,872,6197,9502,2321,61,17130,769,41324,5222,3731,1221,1640,2295,640,3929,6293
WBGene00000088,170,11,928,644,108,1177,3,1126,134,23111,3364,578,1402,1952,24,1005,626,235
WBGene00000089,927,6,360,1325,279,563,25,3914,133,13096,1705,1355,632,1000,61,476,1158,1090
WBGene00000090,3712,2221,12049,4715,3987,3285,131,7191,1299,26214,2183,3143,1720,2287,1641,5019,2641,19627
WBGene00000092,5035,453,2407,5579,6738,5455,757,11631,2907,102593,3277,3288,999,2272,3036,1365,3348,14887
WBGene00000093,594,429,2215,1364,1152,606,442,938,1403,1646,626,1176,562,1613,457,1687,1558,4295
WBGene00000094,1799,887,1534,1057,2482,1266,255,2315,1260,2516,378,474,431,612,1104,1861,622,8401
WBGene00000095,6798,502,1642,2959,9077,3368,693,10087,2422,16302,1776,2544,1147,1955,2940,1057,2235,10350
WBGene00000096,1661,10,72,839,2270,418,45,2137,101,4688,341,539,83,184,598,71,489,997
WBGene00000097,2124,251,3225,2674,2946,2101,615,4266,1542,12507,3595,1818,902,3987,1228,2778,1541,6743
WBGene00000098,3674,6245,19603,3081,6569,6812,1353,7290,7153,3977,1740,1525,3123,7676,4461,14818,1873,44917
WBGene00000099,1442,1567,6486,1282,3473,4790,3365,4343,7996,2970,653,592,647,2108,3826,5851,848,27322
WBGene00000100,83697,344,9408,12406,90781,34181,761,156662,5593,125806,12522,13706,9446,16757,24693,6101,9611,64995
WBGene00000101,9479,4659,29961,14007,14598,8417,455,23755,3226,24335,6618,8087,6349,8819,5507,20793,11013,30595
WBGene00000102,9378,3971,18066,37478,8726,7381,253,18306,4085,81791,5174,39400,3712,7593,2252,11469,16569,38961
WBGene00000103,2403,123,1384,8090,2075,1463,85,7745,522,49869,2368,6452,1354,2111,649,863,4094,3129
WBGene00000105,119742,793,10143,15864,128533,32235,1473,152031,9338,303244,24067,16258,16406,10184,37069,4544,10475,83680
WBGene00000106,15370,2898,18612,2497,26978,30632,2686,37349,15425,46511,8274,3329,3482,3695,13489,2784,3582,135318
WBGene00000107,9894,1505,18397,15883,9844,3859,449,15476,3302,42678,8720,12315,20537,27904,2695,20629,16702,11699
WBGene00000108,1,5,3,9788,0,2,1,13,3,32,2,2409,2,11,6,3,4677,19
WBGene00000109,27127,121,8546,8628,26134,7948,393,29004,1687,17112,7125,6810,13127,12488,5963,9186,9916,11620
WBGene00000110,7725,1328,18072,11418,8674,5988,801,15181,4051,59847,6585,12227,10069,14318,3065,12307,7313,20995
WBGene00000111,539,9,413,723,1156,172,50,908,344,9756,823,1412,930,1414,556,434,1707,353
WBGene00000112,3735,381,6192,6395,3401,2607,240,7031,939,14645,3794,5874,7562,9627,1211,12122,4251,5587
WBGene00000113,1119,471,3466,2689,1382,2357,247,3701,824,10538,1873,3227,1591,7092,481,2075,3537,9396
WBGene00000114,12545,1380,91475,232767,23632,24215,4517,64102,13309,808469,38421,42085,61311,157408,10426,56017,113790,42122
WBGene00000115,7208,519,13892,11815,11015,8545,2441,9707,5055,14754,6396,13847,20789,26845,4574,22416,13790,21238
WBGene00000116,1828,20,1376,653,4735,1322,186,3239,578,3932,953,597,1437,3339,1546,1621,1242,1537
WBGene00000117,1467,171,3798,2283,2461,1287,149,3657,545,10805,1701,1208,2949,3674,947,2956,1701,3363
WBGene00000118,1221,23,4195,6471,1200,1219,749,4812,2365,29140,4177,3273,8043,12849,820,7077,2839,6980
WBGene00000120,5776,510,3325,1773,11773,6268,3486,10005,18138,5161,1030,1062,907,3106,5708,839,1113,36996
WBGene00000121,3463,9197,22407,3834,4049,11550,1452,6894,12353,6004,1988,2052,2571,7849,2605,13616,2264,71611
WBGene00000122,8559,3628,13186,7675,15545,10687,4557,18850,24693,35172,4501,3620,4102,7854,8498,8796,4690,64235
WBGene00000123,15976,7122,62540,20500,22850,38832,1961,56165,17736,87671,16030,16068,11512,12183,13064,15532,16695,182582
WBGene00000133,7,7,60,1707,3,5,2,112,6,869,6,6380,72,504,4,138,1350,87
WBGene00000134,143,4,25,601,40,30,10,435,21,1484,162,275,45,63,25,24,351,123
WBGene00000135,86,9,95,2838,28,94,7,649,19,8799,241,2159,164,304,19,101,1859,193
WBGene00000136,1088,11,2107,823,347,476,12,2217,116,3515,2737,1286,6190,5601,50,3440,2379,524
WBGene00000137,2948,774,2126,1431,6203,2864,416,6491,2089,3563,808,993,707,790,2860,1134,1377,16111
WBGene00000138,324,10,1469,2210,1174,928,88,3661,178,15329,2333,3233,2155,4716,750,1907,1744,1902
WBGene00000139,699,3,96,915,1424,99,75,690,387,1069,130,479,614,787,515,513,566,376
WBGene00000140,13580,261,8023,17609,19971,11126,270,46833,3298,229408,22386,13535,8284,7671,7215,11226,17325,22585
WBGene00000142,3518,2950,5922,3367,5170,2979,1667,5485,6072,4188,1317,2117,2708,4176,2166,7747,2734,19953
WBGene00000143,2073,1282,6549,3461,2904,2856,385,4434,2566,3829,991,1850,1541,2065,1533,5339,2114,14848
WBGene00000144,238,572,2335,1553,240,574,130,370,646,356,83,677,396,1020,82,2314,906,3876
WBGene00000145,1224,2054,3112,1245,3306,2493,2798,3549,13098,3175,535,1243,420,1395,2159,2077,869,12924
WBGene00000146,20718,4142,23000,10198,19779,18117,917,42926,5508,35772,5874,7951,3868,8617,7477,9366,8091,64057
WBGene00000147,2065,669,2996,1213,4307,2269,1297,5086,2778,7526,722,783,707,1067,2490,1873,977,9187
WBGene00000148,4069,760,3695,3390,8121,2636,1363,8678,4958,2896,1576,2409,1761,1795,4573,4072,3570,16397
WBGene00000149,110071,138,32286,59076,107671,52534,1898,220170,10883,553501,58619,58678,32861,43840,33038,13368,50996,98544
WBGene00000150,12781,67,1311,6774,12811,3286,685,17799,1541,71062,4865,3649,4610,7174,3212,2899,4993,6514
WBGene00000151,911,602,2848,2041,2056,1260,299,2682,2244,2564,303,1304,921,1793,912,3042,1269,5856
WBGene00000155,2613,4104,23746,5562,2038,4094,404,5196,3124,8757,4656,5136,10458,13672,1022,15101,10752,39303
WBGene00000156,11733,2663,21111,4939,24210,12065,1008,32608,5614,15932,3970,3290,3833,3597,10129,8983,3061,48311
WBGene00000157,5083,547,2581,871,9401,4322,1789,9072,4074,8611,1976,1447,1680,8414,3326,1481,948,11470
WBGene00000158,17508,1057,11755,8443,19942,9551,918,27147,4489,44536,9828,6337,7008,8061,7638,8880,6635,27769
WBGene00000159,2906,560,3123,2294,6376,4521,2779,5909,7777,9490,1574,2635,1687,7091,3581,3307,1630,7854
WBGene00000160,26321,979,12191,7343,27516,14205,1022,43586,6767,98670,19942,5868,7601,7522,10613,8241,6485,46470
WBGene00000161,24609,1100,8667,7774,26135,12786,1144,48155,5902,57552,15554,5903,6661,6447,9407,3404,7106,49042
WBGene00000162,8235,1376,9232,3261,8451,7104,172,13993,2021,15148,3838,2703,2369,2603,3001,4416,2412,22613
WBGene00000163,10278,1845,12009,7217,14644,7798,649,25899,4159,15660,3487,4789,3429,4422,5693,5779,5287,30161
WBGene00000164,6430,392,1609,1660,9725,2783,1665,8663,5036,10243,2684,1624,1297,1898,3569,1177,1455,14047
WBGene00000165,3070,2091,5419,1607,5825,4381,25951,12675,25831,20729,1216,1649,1365,13475,11691,5088,2024,85299
WBGene00000166,573,3,53,882,219,106,5,1432,30,8988,1355,922,245,304,25,133,909,307
WBGene00000168,1656,1956,13545,499,983,3203,138,2552,1856,2145,398,524,433,2728,504,4247,350,24960
WBGene00000169,295,7,1967,1179,117,104,11,1382,39,11962,1369,1009,2750,3263,19,3422,1648,200
WBGene00000170,286482,37,3881,43121,291717,106923,6911,233467,18784,428942,20264,44515,6321,12344,75626,2146,12815,133546
WBGene00000171,0,3,113,960,1,0,0,4,0,17,9,1158,8,253,7,71,708,5
WBGene00000172,6356,11,769,578,3124,957,2,8414,340,3238,1509,1680,2914,4059,190,1591,2007,1515
WBGene00000173,62,3,9,32,14,32,3,372,4,861,22,47,28,157,6,20,24,184
WBGene00000174,71,2,54,1629,131,105,33,516,97,1320,62,1384,35,362,98,87,984,307
WBGene00000175,7379,23,7238,980,5372,1497,39,9302,138,72717,11883,1943,14829,20730,686,13167,10492,2736
WBGene00000176,652,9,5514,144,133,217,4,1824,13,5042,2195,573,6128,5294,23,8706,1167,371
WBGene00000177,68,2,183,943,52,46,23,443,61,1686,215,1311,506,873,21,414,837,130
WBGene00000178,7525,221,2326,1508,13579,5356,6706,14528,10393,11796,2528,2539,5755,10610,8411,4459,2246,12119
WBGene00000179,3702,158,2387,1519,6150,1784,986,4409,2025,2835,1307,1882,3184,8009,2651,4203,3015,4204
WBGene00000180,2392,83,803,2077,3163,1220,336,4280,724,6020,1011,2382,1222,1587,1486,863,1938,2893
WBGene00000181,3450,1632,9189,6481,5321,5141,10789,9475,22428,11602,3849,5324,6765,22980,4811,12148,8100,33581
WBGene00000182,60288,2732,25294,19148,70308,36711,8211,94823,30768,120463,29716,18841,23487,43253,29208,17567,24465,152885
WBGene00000183,70878,3916,35264,25358,68771,33004,17147,75878,36915,89912,29091,19698,28470,65843,27017,20332,24184,164494
WBGene00000184,3681,186,2144,1382,3897,2285,663,4862,1565,6587,2100,861,1216,2356,1755,2343,754,7445
WBGene00000185,4,2,15,33,0,9,14,25,17,541,25,67,3,13,5,3,23,191
WBGene00000186,13892,792,7100,4338,9583,4194,95,20962,743,16990,4285,3367,2273,2351,2449,2886,3403,13601
WBGene00000187,4404,831,2892,2398,6120,3032,1686,8036,5217,6262,1403,2528,2209,5964,2564,3547,2523,8944
WBGene00000188,3056,3,158,1390,2291,728,15,3649,124,8148,1160,1029,185,1023,247,82,679,2531
WBGene00000189,1379,822,1078,630,2584,592,806,1862,2268,2059,532,560,427,975,809,1254,501,4737
WBGene00000190,16,1,85,38,6,42,7,94,13,2122,55,49,133,1198,8,208,38,53
WBGene00000191,52,1,45,147,20,10,2,160,9,542,59,113,35,607,6,35,78,70
WBGene00000192,8750,3172,11173,4985,9690,7414,1464,13136,4903,28914,6295,4616,3334,8279,3990,9654,4578,31691
WBGene00000193,514,5,19,137,1007,248,121,1045,231,745,41,160,16,53,178,21,89,519
WBGene00000195,4579,444,2490,2227,5094,3620,1460,8359,3359,12458,1739,1747,893,1696,2462,924,1493,14228
WBGene00000196,1292,93,1667,2213,1825,578,120,2813,612,3068,871,1385,1340,1408,662,2276,1753,1487
WBGene00000197,10744,6024,52925,18268,10288,17506,1146,29558,9522,44346,12444,12921,17562,20773,4407,21001,18552,90899
WBGene00000198,10426,1688,16169,8729,14200,6250,1585,15488,6582,24198,13231,5818,14400,26671,5630,15670,7103,40998
WBGene00000199,9876,1065,8400,4409,10676,9580,1215,17847,3599,51396,8301,3108,4369,6343,4879,6065,3614,22008
WBGene00000200,8410,1998,10211,7125,11695,6058,2180,14996,5131,53662,8325,4939,5186,7027,5558,9461,6308,22431
WBGene00000201,10227,1302,7186,5948,10215,8450,2013,14449,4384,48737,6262,3820,3866,6133,4026,6606,5511,21774
WBGene00000202,385,1028,4421,1120,883,2022,1278,1879,2618,2805,484,1509,607,1477,957,1919,1584,8745
WBGene00000203,3557,855,4030,1651,5668,2285,1705,4044,2996,4619,1619,1703,1164,4326,2619,3308,1745,5931
WBGene00000204,6388,366,5847,3119,9839,3574,5701,10496,7337,18101,5890,2315,2755,6344,5799,5507,3203,14168
WBGene00000205,2351,1022,3331,872,3230,2091,1330,3075,2930,3490,1117,990,881,4564,1405,3056,1102,7617
WBGene00000206,3014,5516,19768,4929,2974,5321,1941,4837,11100,4395,2133,3093,4523,10718,1655,20159,3805,62407
WBGene00000207,19267,934,21608,40331,17920,14276,9555,40833,16685,109783,29775,26714,34175,81045,8793,26138,32064,38038
WBGene00000208,1296,434,4507,3907,2072,3974,1762,4665,3376,9697,1570,1626,1220,2604,1622,2363,1634,9500
WBGene00000209,3291,2738,13465,4065,5742,6879,6694,7039,21492,7579,2932,5660,6113,25263,4623,13766,7379,62164
WBGene00000210,6477,847,8420,7737,7855,4716,2003,11725,4810,19293,7805,9593,12463,55954,2570,11207,10306,15227
WBGene00000211,170,20,600,918,191,631,664,1664,4953,3405,357,514,552,1233,322,681,1509,8909
WBGene00000212,100,7,1153,1954,50,32,10,619,8,4261,640,1358,979,2594,20,1489,1648,117
WBGene00000213,6,13,3290,37,0,14,10,28,2,1656,841,443,670,3476,14,1461,49,45
WBGene00000214,14755,680,311782,4763,3046,16798,22,70784,3682,743402,128977,43539,243205,539227,97,182345,179881,21636
WBGene00000215,7363,162,54773,810,2315,2797,9,17664,657,83108,32011,9039,73613,100349,134,54084,24539,4200
WBGene00000216,9781,288,111739,4498,2942,5690,6,28793,1430,151836,49010,13754,94891,138858,140,71267,28721,7784
WBGene00000217,13245,73,30420,32008,37681,9127,13931,25424,15209,59724,6399,25599,15278,39050,18671,15019,19028,19340
WBGene00000218,4053,163,148380,2732,811,3494,12,23144,901,317355,47543,11768,75053,172296,34,54707,32034,4964
WBGene00000219,3134,368,203955,3136,370,4949,12,28016,1202,1095442,55786,22573,97759,159703,16,70243,32497,6403
WBGene00000220,39569,12,247,176,42884,11738,226,40213,1894,1635,3751,873,1489,2468,6415,147,109,21741
WBGene00000221,16182,22,4190,8522,13740,4678,811,21587,1916,35464,11618,7242,7050,18814,3643,4898,5039,7884
WBGene00000222,6407,223,2014,5425,9547,3099,177,10251,1538,30755,3994,2595,1472,1409,3225,892,3653,10023
WBGene00000223,16347,2244,22266,16511,23041,15610,2605,42837,10582,181463,24414,14431,9222,11723,15883,11981,17144,64357
WBGene00000224,34868,100,2930,6768,35949,12047,436,52375,1718,68802,7000,5231,4462,7016,6154,2085,6235,19081
WBGene00000225,13271,212,1708,3610,8090,3177,80,16367,617,27631,4357,5571,3245,2756,1521,1734,3398,7423
WBGene00000226,3618,1113,10664,8733,6307,3037,216,10387,2073,9295,3365,4308,4906,4478,2585,10262,6495,13458
WBGene00000227,4337,1888,10934,2200,4389,6095,159,12191,2369,10660,1673,2053,1812,1637,2473,4801,1301,26521
WBGene00000228,12477,79,11136,7578,9609,5830,290,32191,1722,47766,11629,27944,23122,28130,2157,12944,5142,12232
WBGene00000229,86729,23105,286451,158815,71508,75643,16330,207705,88017,612683,186870,123657,241532,295708,27776,179955,154363,515935
WBGene00000230,19881,4103,37186,38849,20696,27409,14992,34150,40703,173499,29012,25452,29512,94122,13013,34843,26303,106052
WBGene00000231,20061,4160,55125,17693,27330,34531,1413,56731,12089,104385,20658,17477,17820,23592,11400,12498,10648,101734
WBGene00000232,1649,21,203,2844,1009,531,19,4978,82,10412,1536,2298,695,837,198,390,3115,1272
WBGene00000233,619,19,754,8493,149,326,27,2633,32,23807,769,8361,968,1850,28,1055,7172,656
WBGene00000235,4184,3448,12241,3199,11083,7731,12043,8445,45565,7875,4235,2771,4001,10011,10773,9141,4098,51473
WBGene00000236,1353,1321,5259,1392,2761,4146,1133,3484,4141,2706,948,1141,1695,5378,1848,4493,1047,13404
WBGene00000237,12359,65,2173,4143,12547,4568,143,21862,1008,46731,4249,4485,3409,2801,3735,1272,2596,11027
WBGene00000238,3561,7,765,3796,3984,748,51,4888,129,11763,3254,2748,1857,2035,862,1095,3358,1751
WBGene00000239,976,9,1090,817,488,468,26,2685,128,20234,1119,1380,2391,3711,183,1712,1934,842
WBGene00000240,4570,14,6373,6306,3986,2030,356,12992,382,66213,4775,5732,6925,18382,1386,7349,7208,2924
WBGene00000241,1691,2,36,500,1387,531,12,2401,75,3074,152,316,41,95,186,18,353,1115
WBGene00000242,2132,4,20,626,2672,341,18,2736,69,1161,120,599,74,144,368,52,371,815
WBGene00000244,1771,3,62,744,908,347,4,2321,69,4427,232,516,114,170,105,85,569,886
WBGene00000245,602,159,1460,1154,506,252,27,1351,279,14470,2902,1058,1574,4327,156,1939,1696,1392
WBGene00000246,22,7,235,2374,31,32,10,323,8,2965,552,2584,1616,3182,34,544,2473,87
WBGene00000247,2742,223,4071,6699,4589,2756,839,5922,2966,7233,2058,5324,1282,3623,2028,2898,3297,8257
WBGene00000248,14468,686,2829,820,18665,6848,837,21273,2272,17126,9378,877,1447,5884,5084,3447,1009,15093
WBGene00000249,4602,1355,4468,1666,8327,4314,6850,5353,18753,11372,2382,1216,721,1759,7127,3059,1639,19273
WBGene00000250,564,767,5951,1310,359,762,80,612,720,764,162,464,475,782,156,3409,364,5892
WBGene00000251,145,5,766,57,285,203,3,206,3,702,108,80,27212,38847,136,571,42,164
WBGene00000252,21,3,380,32,43,94,9,54,28,165,47,47,13021,70631,39,473,24,145
WBGene00000253,7224,57,2188,3409,6702,2905,111,15106,469,13487,3082,7084,3724,9451,2144,2040,2017,10586
WBGene00000254,20817,3790,27644,21375,19120,14606,478,43496,4415,33225,9094,21248,13498,23177,5641,16380,19050,55814
WBGene00000255,15,4,58,49,12,17,6,231,18,49,107,267,209,1721,12,120,23,65
WBGene00000256,4,14,2677,25,0,36,8,14,15,347,64,66,13524,288663,7,6812,35,216
WBGene00000257,2271,1491,14503,2856,6911,9855,2146,15249,8190,6240,1586,1598,1755,4546,5855,6390,1577,44508
WBGene00000259,1382,139,3337,4485,2113,956,171,4130,578,12999,1684,3186,1886,2729,1001,3184,3062,2476
WBGene00000262,1937,182,815,601,4270,2968,3327,4910,5598,3380,461,515,240,720,3269,396,593,8126
WBGene00000263,10787,2989,28611,11577,13479,15472,16524,22110,40390,46464,15119,13104,15374,142609,10426,22764,14184,77621
WBGene00000264,606,486,3997,1408,1380,1501,416,2058,1848,2490,414,541,547,1983,1158,2941,508,12008
WBGene00000265,1078,824,4854,1302,2455,2616,869,3505,2776,1807,441,489,880,1185,2000,2796,579,14492
WBGene00000266,19538,31,928,2831,14089,4833,347,23220,1628,5500,2471,3986,4988,8436,2551,1965,2940,6630
WBGene00000267,845,11,156,1075,1190,168,24,1213,153,3877,218,710,276,910,230,342,661,749
WBGene00000268,4620,1088,8145,9056,3973,2203,63,7817,708,40507,5111,11487,3653,7289,1043,7025,8015,8802
WBGene00000269,893,260,2089,1072,1010,1005,103,2168,454,3518,601,1293,956,1517,382,1088,866,4149
WBGene00000270,575,390,757,1068,1157,588,510,1139,1330,1269,217,534,513,705,685,1445,617,2896
WBGene00000271,3076,1645,7356,4901,5662,3240,304,7765,2009,10815,1698,2224,1634,1711,2532,4672,3265,15105
WBGene00000272,3369,1,22,394,4621,885,72,2641,76,203,309,230,65,248,878,14,151,1534
WBGene00000273,16716,110,88590,348158,5096,7530,46,39455,263,536185,20552,151668,21386,57073,313,18417,153054,10160
WBGene00000274,1703,1092,9703,3611,2639,3637,124,5885,1303,5100,1430,2063,2749,2810,1422,4787,1717,15756
WBGene00000275,4087,3339,26767,3885,10135,15728,5253,19566,16631,6833,2578,2319,3293,6356,9264,13284,2570,101538
WBGene00000276,8295,961,10591,55921,12501,7863,4099,27183,10155,93341,6917,16897,5758,7597,6480,8100,35956,31129
WBGene00000277,8660,44,9648,96231,10094,6456,482,29818,1727,606944,28763,49996,8136,15939,4004,6073,72812,7030
WBGene00000279,1449,67,201,895,809,259,160,2546,425,2545,314,791,213,265,263,262,680,1051
WBGene00000280,1084,3,52,1121,491,256,9,2214,60,2283,358,958,176,279,59,104,961,482
WBGene00000281,167,11,2844,7561,56,131,3,1418,5,20433,3943,8559,5835,8054,13,4764,5163,273
WBGene00000282,2007,25,8850,9602,2521,626,25,3760,152,50087,6816,12723,8888,23208,405,9957,12322,1328
