,elongating embryo Ce,L1 larva Ce,dauer larva Ce,adult Ce,L2L3_larva
WBGene00000175,5372,60753,980,4699,21670
WBGene00000176,133,4543,144,1287,7915
WBGene00000177,52,1174,943,98,689
WBGene00000178,13579,9372,1508,1210,8089
WBGene00000179,6150,1929,1519,902,4431
WBGene00000180,3163,4481,2077,373,1923
WBGene00000181,5321,8141,6481,3691,10283
WBGene00000182,70308,96281,19148,11609,47553
WBGene00000183,68771,71804,25358,15334,53130
WBGene00000184,3897,4375,1382,658,2494
WBGene00000185,0,465,33,5,17
WBGene00000186,9583,13261,4338,2407,5565
WBGene00000187,6120,4115,2398,1290,3421
WBGene00000188,2291,6105,1390,32,1269
WBGene00000189,2584,1332,630,324,774
WBGene00000190,6,1869,38,9,153
WBGene00000191,20,304,147,15,56
WBGene00000192,9690,20820,4985,3533,7329
WBGene00000193,1007,473,137,3,57
WBGene00000195,5094,8162,2227,884,1889
WBGene00000196,1825,2180,2213,708,1930
WBGene00000197,10288,34154,18268,23531,27912
WBGene00000198,14200,18043,8729,6475,26297
WBGene00000199,10676,43200,4409,3372,9838
WBGene00000200,11695,46207,7125,4070,9791
WBGene00000201,10215,39504,5948,2581,7682
WBGene00000202,883,1673,1120,1180,920
WBGene00000203,5668,2384,1651,802,2410
WBGene00000204,9839,14078,3119,1836,6967
WBGene00000205,3230,1942,872,746,1555
WBGene00000206,2974,2568,4929,5722,5910
WBGene00000207,17920,85800,40331,12832,59945
WBGene00000208,2072,6271,3907,1363,2118
WBGene00000209,5742,5078,4065,5176,8804
WBGene00000210,7855,13487,7737,3161,19546
WBGene00000211,191,2797,918,225,899
WBGene00000212,50,3896,1954,462,1598
WBGene00000213,0,1498,37,2100,1486
WBGene00000214,3046,656690,4763,110429,365794
WBGene00000215,2315,77999,810,25888,104692
WBGene00000216,2942,137737,4498,32742,142115
WBGene00000217,37681,46868,32008,11394,21233
WBGene00000218,811,294351,2732,35514,120807
WBGene00000219,370,1036265,3136,45561,150710
WBGene00000220,42884,1249,176,46,4980
WBGene00000221,13740,29295,8522,2152,17948
WBGene00000222,9547,27305,5425,630,4698
WBGene00000223,23041,155649,16511,7969,28942
WBGene00000224,35949,50354,6768,1284,8023
WBGene00000225,8090,20074,3610,958,6737
WBGene00000226,6307,6996,8733,4180,7454
WBGene00000227,4389,8261,2200,3460,3124
WBGene00000228,9609,42672,7578,7764,33295
WBGene00000229,71508,503637,158815,167117,409341
WBGene00000230,20696,136333,38849,15043,47146
WBGene00000231,27330,87890,17693,23623,34686
WBGene00000232,1009,5970,2844,110,1477
WBGene00000233,149,21021,8493,374,1638
WBGene00000235,11083,4165,3199,3152,7111
WBGene00000236,2761,1196,1392,1193,2266
WBGene00000237,12547,36379,4143,1107,5728
WBGene00000238,3984,9334,3796,459,3868
WBGene00000239,488,4590,817,601,3421
WBGene00000240,3986,54629,6306,2228,10703
WBGene00000241,1387,2589,500,8,162
WBGene00000242,2672,731,626,7,191
WBGene00000244,908,3385,744,15,322
WBGene00000245,506,11469,1154,778,4356
WBGene00000246,31,1452,2374,122,2128
WBGene00000247,4589,4460,6699,1069,2263
WBGene00000248,18665,10913,820,1134,4555
WBGene00000249,8327,5881,1666,1199,1848
WBGene00000250,359,478,1310,1170,633
WBGene00000251,285,579,57,328,27261
WBGene00000252,43,58,32,137,13064
WBGene00000253,6702,9630,3409,1368,6573
WBGene00000254,19120,27937,21375,10975,21838
WBGene00000255,12,22,49,30,298
WBGene00000256,0,21,25,1124,13532
WBGene00000257,6911,3359,2856,4739,3253
WBGene00000259,2113,7994,4485,1422,2838
WBGene00000262,4270,2230,601,296,581
WBGene00000263,13479,32951,11577,8164,27882
WBGene00000264,1380,831,1408,1252,922
WBGene00000265,2455,941,1302,1366,1276
WBGene00000266,14089,3713,2831,472,7223
WBGene00000267,1190,1417,1075,57,411
WBGene00000268,3973,37553,9056,2912,8098
WBGene00000269,1010,2555,1072,735,1427
WBGene00000270,1157,923,1068,347,680
WBGene00000271,5662,8397,4901,2344,2541
WBGene00000272,4621,124,394,1,343
WBGene00000273,5096,468855,348158,21948,40631
WBGene00000274,2639,3356,3611,3578,3864
WBGene00000275,10135,3935,3885,8228,5674
WBGene00000276,12501,81186,55921,3039,11090
WBGene00000277,10094,460434,96231,3488,29502
WBGene00000279,809,1517,895,68,415
WBGene00000280,491,1278,1121,25,425
WBGene00000281,56,15964,7561,1269,8366
WBGene00000282,2521,42231,9602,3976,14003
WBGene00000283,1789,4959,1018,872,2972
WBGene00000284,556,19315,3972,93,1295
WBGene00000285,423,2770,2724,76,1131
WBGene00000286,507,13608,6721,56,992
WBGene00000287,303,1175,697,22,407
WBGene00000288,38,9645,3775,47,1308
WBGene00000289,44782,39291,5903,5887,7245
WBGene00000292,18346,14472,5140,2172,6151
WBGene00000293,16768,39056,13884,5577,9386
WBGene00000294,14984,50473,11994,3906,11647
WBGene00000295,367,8342,729,53,559
WBGene00000296,14,1497,755,29,203
WBGene00000298,1377,7489,1390,1195,3427
WBGene00000301,122158,2488,59,5023,556
WBGene00000302,3242,3991,1439,90,1085
WBGene00000366,74158,150055,30351,18775,27839
WBGene00000367,3817,24196,5933,347,3737
WBGene00000368,5188,25011,3777,376,4403
WBGene00000369,10975,15503,4955,5147,6798
WBGene00000370,997,120945,33787,2536,9052
WBGene00000371,19385,24129,19984,8496,28297
WBGene00000372,164,321,110,2,29
WBGene00000373,403,3538,5326,502,980
WBGene00000374,2644,7010,4724,341,2531
WBGene00000375,1312,1313,1744,860,1234
WBGene00000376,41472,57344,18311,19007,16413
WBGene00000377,11904,45872,27376,18513,33765
WBGene00000378,8771,38967,27331,15110,32391
WBGene00000379,11696,66133,87461,16267,35569
WBGene00000380,20501,146933,84987,30560,61830
WBGene00000381,8596,39430,26417,17893,35452
WBGene00000382,3264,2342,3575,1742,1933
WBGene00000383,29010,113882,13055,6814,7427
WBGene00000386,3819,4872,4582,8598,2994
WBGene00000387,28794,3459,905,2581,1769
WBGene00000388,479,24,10,954,12
WBGene00000389,77,9,11,137,92
WBGene00000390,29672,60556,14032,5376,11563
WBGene00000391,3011,9440,550,162,2035
WBGene00000392,1181,2131,1317,1226,2146
WBGene00000393,4623,12298,2708,1021,3378
WBGene00000395,38525,3177,841,419,5294
WBGene00000396,83580,27975,4336,5783,12970
WBGene00000397,18763,1226,700,107,7541
WBGene00000399,19,82,335,30,16942
WBGene00000401,7238,5008,112,30,1230
WBGene00000402,142,163,597,48,20304
WBGene00000403,16456,400919,60422,2476,21619
WBGene00000405,9445,3504,3074,7020,4076
WBGene00000406,2820,1917,130,498,560
WBGene00000407,3411,11202,3638,1361,2148
WBGene00000408,3986,4128,3540,1398,1798
WBGene00000409,6061,4682,3760,3264,2817
WBGene00000410,3675,4213,3459,1253,2834
WBGene00000411,19880,14065,4704,9381,6445
WBGene00000412,105,338,82,27,455
WBGene00000413,5416,2177,1768,2908,2016
WBGene00000414,26571,31068,5210,572,3793
WBGene00000415,9231,64430,10889,6543,7671
WBGene00000416,1592,3953,1729,1384,987
WBGene00000417,5597,2481,2193,9487,2039
WBGene00000418,5362,4270,1879,1452,1527
WBGene00000419,8282,10865,5488,4777,6598
WBGene00000420,4352,10023,1928,1634,2017
WBGene00000421,13837,20459,23682,7738,14162
WBGene00000422,2043,81,72,200,149
WBGene00000423,2912,3215,1394,1931,826
WBGene00000424,6087,16136,2009,1542,3910
WBGene00000425,8164,2316,2329,371,2072
WBGene00000426,4872,7104,4506,2319,2637
WBGene00000427,19,4,0,0,1
WBGene00000428,43,371,55,5,51
WBGene00000429,1102,261,44,2,61
WBGene00000430,2721,28,25,13,21
WBGene00000431,3510,5383,882,15,689
WBGene00000432,8,5,16,1,2
WBGene00000433,2387,2563,299,5,143
WBGene00000434,74,212,76,4,114
WBGene00000435,1544,2512,307,18,104
WBGene00000436,12,9,92,3,37
WBGene00000437,8153,9320,3338,95,1718
WBGene00000438,1104,16519,672,56,485
WBGene00000439,2613,2606,790,21,195
WBGene00000440,1293,332,183,2,130
WBGene00000441,374,25291,5491,362,4592
WBGene00000442,462,401,408,29,153
WBGene00000443,33153,27807,5089,370,4715
WBGene00000444,1216,3939,827,1159,576
WBGene00000445,4863,3361,474,14,372
WBGene00000446,6,1824,344,16,240
WBGene00000447,1048,1048,333,6,164
WBGene00000448,17600,19571,2495,50,1781
WBGene00000449,7071,5053,1023,24,456
WBGene00000450,44,35,4,0,7
WBGene00000451,2168,258,84,19,121
WBGene00000452,1900,2608,467,3,243
WBGene00000453,21427,21923,2890,1479,2032
WBGene00000454,88,2561,381,3,98
WBGene00000455,8992,14126,1097,48,764
WBGene00000457,1037,3915,147,23,55
WBGene00000458,7959,15722,1633,361,1582
WBGene00000459,17186,42887,8958,6125,7720
WBGene00000460,1348,7737,404,1951,444
WBGene00000461,832,694,83,342,62
WBGene00000462,1221,1009,526,357,500
WBGene00000463,13474,4600,1112,670,846
WBGene00000464,18633,19398,6179,3064,5089
WBGene00000465,1252,1988,1291,131827,1786
WBGene00000466,7718,5373,5006,1716,3127
WBGene00000467,817,1643,3323,2006,1630
WBGene00000468,2694,83,18,6,38
WBGene00000469,40677,540,130,34,35
WBGene00000472,146722,421585,44891,17805,49306
WBGene00000473,2002,619,3504,47233,4297
WBGene00000474,1248,284,3286,15703,2722
WBGene00000475,20839,83607,20790,34163,36296
WBGene00000476,4248,7110,838,18,749
WBGene00000477,56,1822,805,66,1009
WBGene00000478,15042,13780,1320,427,1081
WBGene00000479,15519,113106,15463,99913,29809
WBGene00000480,6725,33332,6051,5617,4679
WBGene00000481,23,5433,1153,40,539
WBGene00000482,32575,27459,8520,4362,11979
WBGene00000483,324,71,30,3,12
WBGene00000484,1768,2683,540,5,196
WBGene00000485,4498,6826,4056,67,1301
WBGene00000487,45,374,1065,3,29
WBGene00000488,390,5030,986,30,628
WBGene00000490,2244,2182,1755,15,452
WBGene00000491,2034,4631,1783,32,782
WBGene00000492,2130,1358,445,14,201
WBGene00000493,5569,852,171,61,2357
WBGene00000496,503,616,1000,26386,1459
WBGene00000497,4990,1027,1005,279,4124
WBGene00000498,1243,2012,1688,3901,1597
WBGene00000499,84,629,533,486,414
WBGene00000500,5054,2938,3167,1276,1683
WBGene00000501,24,8828,2681,73,946
WBGene00000502,2685,3261,3958,1328,3730
WBGene00000503,20295,25533,252,7003,1011
WBGene00000506,2243,2000,1394,463,916
WBGene00000507,4567,10148,3277,1375,2859
WBGene00000508,10719,33091,8633,3019,6627
WBGene00000509,2774,15613,4909,1209,2105
WBGene00000510,1274,8363,2431,162,1591
WBGene00000511,677,678,706,58,839
WBGene00000512,826,619,345,199,1808
WBGene00000513,36,187,7,1,53
WBGene00000514,2248,1297,429,222,1577
WBGene00000515,1059,1971,1131,342,3002
WBGene00000516,27032,2956,697,108,1146
WBGene00000517,3799,8089,2554,1469,1601
WBGene00000518,1321,19152,1866,116,1468
WBGene00000519,1200,3896,2041,1654,1820
WBGene00000520,1193,1799,3374,1426,1688
WBGene00000521,3342,227,12,1,2603
WBGene00000522,118,3863,460,280,1580
WBGene00000523,5843,1931,503,104,1172
WBGene00000524,580,2624,463,177,803
WBGene00000525,6,217,7,16,9
WBGene00000526,10287,3133,840,85,1296
WBGene00000527,7218,25461,2830,2694,5326
WBGene00000528,1672,31084,19691,3244,5643
WBGene00000529,45,16280,5006,108,1263
WBGene00000530,205,4588,11794,1265,1399
WBGene00000531,4,4714,285,47,675
WBGene00000532,9880,14890,5146,4049,6671
WBGene00000533,2061,3380,1786,1310,1768
WBGene00000534,27886,24308,27754,6208,11474
WBGene00000535,135,3583,7248,2237,1936
WBGene00000536,2402,4452,3381,562,1730
WBGene00000539,340,103,55,129,1003
WBGene00000540,1287,2267,1436,363,867
WBGene00000541,401,1653,1218,150,1775
WBGene00000542,4222,75301,41017,8272,20339
