,elongating embryo Ce,L1 larva Ce,dauer larva Ce,adult Ce,L2L3_larva
WBGene00005033,0,71,21,0,11
WBGene00005035,0,7,18,0,4
WBGene00005036,62,374,103,6,135
WBGene00005037,31,106,141,5,10
WBGene00005038,0,134,79,1,30
WBGene00005039,13,27,38,2,27
WBGene00005040,1,89,26,101,21
WBGene00005042,5,4,97,0,4
WBGene00005043,0,173,99,0,10
WBGene00005044,0,3,11,0,3
WBGene00005046,0,10,56,0,9
WBGene00005047,0,154,46,0,11
WBGene00005048,0,19,54,0,4
WBGene00005049,0,10,16,0,7
WBGene00005050,0,32,23,0,3
WBGene00005051,1,111,77,0,13
WBGene00005052,14,50,84,0,11
WBGene00005053,15,117,19,0,21
WBGene00005054,0,10,7,0,6
WBGene00005055,0,16,90,0,5
WBGene00005056,8,23,4,1,5
WBGene00005057,24,62,131,0,13
WBGene00005058,6,31,21,25,21
WBGene00005059,5,51,2027,15,13
WBGene00005060,62,83,155,0,14
WBGene00005061,23,5,81,13,5
WBGene00005062,2,52,205,0,18
WBGene00005063,2,980,474,18,173
WBGene00005064,7,35,43,0,10
WBGene00005065,4,61,31,1,8
WBGene00005066,1,5,2,0,5
WBGene00005067,0,11,6,1,6
WBGene00005068,0,24,154,1,4
WBGene00005069,0,6,70,1,4
WBGene00005070,11,63,45,0,16
WBGene00005071,1,59,16,0,12
WBGene00005072,22,31,20,5,14
WBGene00005075,4,10,0,0,5
WBGene00005076,18,11,3,2,5
WBGene00005077,22269,10262,2176,3945,5232
WBGene00005078,2312,2383,142,121,1771
WBGene00005079,15,86,88,2,13
WBGene00005080,4,16,65,1,3
WBGene00005081,11,369,348,8,33
WBGene00005082,28,124,133,0,10
WBGene00005083,0,100,68,1,10
WBGene00005084,3,3,0,0,2
WBGene00005085,1,71,8,2,18
WBGene00005086,9,27,108,0,29
WBGene00005087,12,45,31,0,6
WBGene00005088,1,281,34,1,27
WBGene00005089,13,210,316,3,13
WBGene00005090,8,1009,543,0,32
WBGene00005091,1,21,20,2,8
WBGene00005092,0,293,292,41,203
WBGene00005093,1,29,53,2,14
WBGene00005094,0,59,9,0,7
WBGene00005095,6,94,243,3,17
WBGene00005096,1,90,356,1,9
WBGene00005097,0,62,48,1,3
WBGene00005098,21,22,22,3,43
WBGene00005099,1,2,21,0,1
WBGene00005100,1,6,12,0,2
WBGene00005101,22,535,15,6,130
WBGene00005102,0,3,17,0,0
WBGene00005103,3,9,37,0,3
WBGene00005104,1,14,91,2,9
WBGene00005105,0,1566,200,12,36
WBGene00005106,0,158,196,2,10
WBGene00005107,0,13,95,0,5
WBGene00005108,1,115,194,1,4
WBGene00005109,0,6,332,0,4
WBGene00005110,360,3094,120,14,208
WBGene00005111,7,580,162,1,44
WBGene00005112,0,17,160,1,5
WBGene00005113,36,415,158,2,53
WBGene00005114,2,79,14,2,6
WBGene00005116,0,7,0,0,6
WBGene00005117,4,468,17,2,7
WBGene00005118,7,29,5,0,4
WBGene00005119,1,24,25,0,5
WBGene00005120,0,59,11,1,6
WBGene00005121,0,13,197,0,3
WBGene00005122,0,14,0,0,5
WBGene00005123,0,7,369,0,5
WBGene00005124,0,30,16,0,6
WBGene00005125,4,4,23,0,3
WBGene00005126,0,5,166,0,5
WBGene00005127,35,534,114,1,36
WBGene00005128,4,32,2,0,5
WBGene00005129,38,466,319,0,21
WBGene00005130,3,30,11,8,10
WBGene00005131,2,246,424,8,449
WBGene00005132,2,251,80,3,29
WBGene00005133,4,45,214,3,14
WBGene00005134,0,19,2,0,2
WBGene00005135,0,2,0,0,3
WBGene00005136,2,3,6,0,4
WBGene00005137,0,0,1,0,0
WBGene00005139,3,19,13,1,1
WBGene00005140,4,60,23,3,4
WBGene00005141,1,149,4,10,55
WBGene00005142,5,118,12,6,35
WBGene00005143,21,89,7,1,14
WBGene00005144,2,59,0,1,10
WBGene00005145,1,68,85,0,2
WBGene00005146,3,48,11,1,8
WBGene00005147,113,888,222,28,27
WBGene00005149,67,191,86,2,63
WBGene00005150,33,65,67,4,40
WBGene00005153,2610,1301,378,333,2865
WBGene00005159,11,76,7,1,14
WBGene00005160,17,554,47,4,37
WBGene00005161,19,60,7,1,15
WBGene00005162,11,110,16,1,21
WBGene00005163,30,147,424,1,25
WBGene00005164,19,102,13,2,11
WBGene00005165,864,527,1084,1,46
WBGene00005166,18,80,21,1,7
WBGene00005167,20,98,12,1,11
WBGene00005168,19,62,15,4,46
WBGene00005169,0,71,25,0,6
WBGene00005170,1,19,148,2,14
WBGene00005171,9,73,1,0,14
WBGene00005172,1,75,429,0,32
WBGene00005173,0,23,14,0,4
WBGene00005174,0,79,13,1,4
WBGene00005175,0,14,2,1,11
WBGene00005177,1,196,92,0,9
WBGene00005178,3,59,2,1,21
WBGene00005179,20,108,4,2,4
WBGene00005180,6,28,2,3,4
WBGene00005181,1,92,12,1,6
WBGene00005182,1,80,123,1,55
WBGene00005183,4,19,25,0,6
WBGene00005184,1,56,56,1,27
WBGene00005185,0,2,0,1,5
WBGene00005186,14,42,9,0,3
WBGene00005187,37,200,155,2,22
WBGene00005188,31,278,416,22,438
WBGene00005189,0,150,707,1,15
WBGene00005190,0,3,58,0,6
WBGene00005191,1,517,70,17,102
WBGene00005192,23,40,45,0,8
WBGene00005193,0,24,2,0,8
WBGene00005194,1,105,44,0,15
WBGene00005195,2,276,20,3,8
WBGene00005196,0,75,1,1,5
WBGene00005197,0,196,17,1,20
WBGene00005198,0,78,20,0,10
WBGene00005199,0,29,7,0,13
WBGene00005201,0,7,1,1,4
WBGene00005202,6,87,2,0,24
WBGene00005203,1,9,70,0,9
WBGene00005204,0,19,6,0,10
WBGene00005205,20,201,89,4,14
WBGene00005206,19,244,141,3,14
WBGene00005207,7,37,52,1,8
WBGene00005208,173,193,21,1,9
WBGene00005210,4,62,14,0,16
WBGene00005211,0,15,99,0,11
WBGene00005212,1,14,17,0,6
WBGene00005213,1,26,135,0,12
WBGene00005214,0,13,6,0,5
WBGene00005215,391,5,144,0,7
WBGene00005216,0,12,2,0,4
WBGene00005217,0,14,1,1,3
WBGene00005218,0,19,40,1,3
WBGene00005219,0,76,204,1,13
WBGene00005221,3,4072,32,0,5
WBGene00005222,4,13,19,8,22
WBGene00005223,1,4,12,19,19
WBGene00005224,0,9,23,0,4
WBGene00005225,2,2,0,0,6
WBGene00005226,6,70,66,3,69
WBGene00005227,0,116,59,2,19
WBGene00005228,217,681,176,34,47
WBGene00005229,2,30,50,1,11
WBGene00005230,0,48,5,0,6
WBGene00005231,0,174,94,0,5
WBGene00005233,0,16,35,0,3
WBGene00005234,0,48,123,1,10
WBGene00005236,0,21,0,0,10
WBGene00005237,3,30,5,1,4
WBGene00005239,0,6,5,0,7
WBGene00005240,1,198,70,1,24
WBGene00005241,120,172,5,8,23
WBGene00005242,25,274,102,0,24
WBGene00005243,2,112,72,1,12
WBGene00005244,4,55,18,1,7
WBGene00005245,0,96,74,0,29
WBGene00005246,12,318,158,1,22
WBGene00005247,44,112,60,0,15
WBGene00005248,76,149,64,1,13
WBGene00005249,158,93,152,0,9
WBGene00005250,127,31,85,0,8
WBGene00005251,8,140,58,1,38
WBGene00005252,9,248,31,1,21
WBGene00005253,25,485,79,3,76
WBGene00005254,0,5,6,0,2
WBGene00005255,0,41,0,0,4
WBGene00005256,34,8,73,2,3
WBGene00005257,36,53,131,3,5
WBGene00005258,99,46,239,2,1
WBGene00005259,2,9,334,0,5
WBGene00005260,0,45,122,0,9
WBGene00005261,0,35,91,0,20
WBGene00005262,1,329,32,1,25
WBGene00005263,0,370,22,0,50
WBGene00005264,0,179,31,0,10
WBGene00005265,17,62,8,0,11
WBGene00005267,3,410,23,3,31
WBGene00005268,17,100,28,0,14
WBGene00005269,66,161,44,2,31
WBGene00005270,12,57,48,1,14
WBGene00005271,36,384,50,20,128
WBGene00005272,0,32,0,0,12
WBGene00005273,1,46,15,0,5
WBGene00005274,2,24,56,0,2
WBGene00005275,2,3,93,0,3
WBGene00005278,59,45,4,0,2
WBGene00005279,4,93,9,0,10
WBGene00005281,1,8,20,0,20
WBGene00005282,2,21,79,0,19
WBGene00005283,18,42,69,0,10
WBGene00005284,0,0,116,0,5
WBGene00005285,0,10,36,0,1
WBGene00005288,1,59,9,0,3
WBGene00005289,1,125,16,0,17
WBGene00005290,63,74,57,1,20
WBGene00005291,5,7,134,5,47
WBGene00005292,508,708,342,25,101
WBGene00005293,13,239,60,0,4
WBGene00005294,0,10,3,0,1
WBGene00005295,1,34,122,0,23
WBGene00005296,0,132,342,0,21
WBGene00005297,4,60,5,0,5
WBGene00005298,18,55,22,1,7
WBGene00005299,4,154,51,1,17
WBGene00005300,0,51,18,0,4
WBGene00005301,3,22,9,0,6
WBGene00005303,15,10,73,1,8
WBGene00005304,6,14,66,0,9
WBGene00005306,0,4,435,0,3
WBGene00005307,1,40,252,3,4
WBGene00005308,17,9,120,1,3
WBGene00005309,4,48,290,1,3
WBGene00005310,3,32,15,0,2
WBGene00005311,62,55,14,1,10
WBGene00005312,0,20,14,0,4
WBGene00005313,21,4,1848,0,3
WBGene00005315,1,10,7,2,5
WBGene00005316,0,14,5,1,6
WBGene00005317,229,85,5,0,14
WBGene00005318,11,66,2,0,7
WBGene00005319,6,12,0,0,4
WBGene00005320,1,68,8,0,15
WBGene00005321,0,22,15,1,2
WBGene00005323,1,11,98,0,3
WBGene00005324,5,45,8181,3,66
WBGene00005325,5,29,66,1,6
WBGene00005327,11,436,80,0,21
WBGene00005328,1,10,15,0,5
WBGene00005330,0,5,0,3,4
WBGene00005331,5,23,69,2,14
WBGene00005332,1,13,25,0,10
WBGene00005334,0,18,15,0,7
WBGene00005335,0,53,25,0,12
WBGene00005336,2,26,3,0,5
WBGene00005337,0,17,2,2,3
WBGene00005338,15,49,30,2,5
WBGene00005339,2,264,9,1,7
WBGene00005340,1,3,77,1,6
WBGene00005341,0,169,7,0,8
WBGene00005342,20,55,68,0,13
WBGene00005344,27,20,42,0,4
WBGene00005345,0,142,60,0,4
WBGene00005346,4,174,86,1,31
WBGene00005347,0,269,30,3,27
WBGene00005348,0,174,1,0,6
WBGene00005349,21,3,0,1,4
WBGene00005350,5,46,109,0,4
WBGene00005351,51,35,18,0,6
WBGene00005352,2,124,8,0,16
WBGene00005353,9,35,18,1,8
WBGene00005354,1,37,7,0,4
WBGene00005355,0,2,48,1,1
WBGene00005356,2,12,34,0,5
WBGene00005357,0,28,36,0,4
WBGene00005358,12,1,0,0,5
WBGene00005359,0,37,20,2,14
WBGene00005361,0,12,0,0,5
WBGene00005362,5,165,3543,1,21
WBGene00005363,4,141,421,1,13
WBGene00005364,0,51,58,0,12
WBGene00005365,0,39,29,1,14
WBGene00005369,0,15,0,1,10
WBGene00005370,0,150,134,0,14
WBGene00005372,0,7,7,0,6
WBGene00005375,6,103,10,0,16
WBGene00005379,167,19,40,2,16
WBGene00005380,0,51,18,1,9
WBGene00005382,1,66,59,0,3
WBGene00005383,0,82,70,2,12
WBGene00005385,0,92,23,0,3
WBGene00005386,4,32,124,0,29
WBGene00005387,414,340,250,0,11
WBGene00005388,9,68,6,0,3
WBGene00005389,40,71,71,0,13
WBGene00005390,0,273,130,0,20
WBGene00005392,3,17,500,2,4
WBGene00005393,0,48,45,1,13
WBGene00005394,0,771,53,1,15
WBGene00005395,5,34,28,0,7
WBGene00005396,0,50,24,2,2
WBGene00005397,0,61,154,1,8
WBGene00005398,9,16,35,1,5
WBGene00005399,155,83,53,0,14
WBGene00005400,2,6,12,0,5
WBGene00005401,0,125,39,0,3
WBGene00005402,2,10,2,0,14
WBGene00005403,0,28,334,1,21
WBGene00005404,0,10,13,0,9
WBGene00005405,5,13,9,0,4
WBGene00005406,0,14,7,0,7
WBGene00005407,0,22,4,1,3
WBGene00005408,25,5,33,17,33
WBGene00005409,0,31,25,0,2
WBGene00005410,3,28,29,0,4
WBGene00005411,19,25,1,0,0
WBGene00005412,0,3,16,0,2
WBGene00005413,0,96,38,0,9
WBGene00005414,0,8,7,1,4
WBGene00005415,1,52,1,1,17
WBGene00005416,0,94,19,0,6
WBGene00005417,8,135,65,2,10
WBGene00005418,3,21,35,0,4
WBGene00005419,0,234,16,6,27
WBGene00005421,20,37,85,1,6
WBGene00005422,3,1009,95,2,31
WBGene00005423,18,64,47,1,9
WBGene00005424,4,97,5,0,3
WBGene00005426,2,44,13,0,5
WBGene00005427,122,50,1,19,8
WBGene00005428,2,101,8,0,17
WBGene00005429,92,7,18,0,4
WBGene00005430,1,23,11,0,0
WBGene00005432,0,166,31,0,7
WBGene00005433,1,15,0,0,2
WBGene00005434,1,6,14,0,3
WBGene00005437,2,244,81,1,25
WBGene00005439,0,6,12,0,6
WBGene00005440,11,45,1,1,7
WBGene00005441,25,14,3,0,6
WBGene00005442,0,49,60,1,2
WBGene00005443,0,11,79,0,1
WBGene00005444,22,87,36,66,254
WBGene00005446,0,66,20,1,11
WBGene00005447,5,148,34,1,7
WBGene00005448,0,37,117,0,1
WBGene00005449,0,9,102,0,1
WBGene00005450,15,6,1,0,8
WBGene00005451,10,5,366,0,4
WBGene00005452,3,15,158,3,10
WBGene00005453,0,4,7,0,0
WBGene00005454,0,2,95,0,3
WBGene00005455,0,0,91,1,4
WBGene00005456,0,21,24,0,6
WBGene00005457,1,7,48,0,2
WBGene00005458,1,6,66,0,6
WBGene00005459,1,2,62,1,0
WBGene00005460,0,1,2,0,3
WBGene00005461,0,43,3,0,34
WBGene00005462,1,24,0,1,13
WBGene00005463,2,6,0,0,2
WBGene00005464,11,1,1,0,13
WBGene00005465,0,1,24,0,2
WBGene00005466,0,4,81,0,0
WBGene00005470,0,26,38,0,5
WBGene00005472,0,92,0,0,14
WBGene00005474,7,86,123,0,16
WBGene00005475,12,75,30,5,23
WBGene00005476,0,11,17,1,2
WBGene00005477,7,457,81,0,39
WBGene00005478,1,66,17,0,7
WBGene00005479,1,14,3,0,4
WBGene00005480,0,7,55,1,6
WBGene00005481,1,354,41,1,45
WBGene00005482,1,110,13,3,11
WBGene00005484,2,192,123,1,3
WBGene00005486,0,105,108,0,2
WBGene00005487,8,53,26,1,11
WBGene00005488,0,31,34,1,22
WBGene00005489,0,12,52,0,3
WBGene00005490,21,53,13,0,6
WBGene00005491,11,12,24,0,0
WBGene00005492,0,21,52,0,5
WBGene00005493,0,28,43,0,3
WBGene00005494,0,24,204,0,5
WBGene00005495,0,6,52,0,1
WBGene00005496,0,6,36,0,4
WBGene00005497,0,16,6,1,1
WBGene00005499,0,11,94,0,1
WBGene00005500,0,99,225,1,4
WBGene00005501,0,19,23,1,2
WBGene00005502,0,8,183,0,6
WBGene00005503,0,6,14,0,2
WBGene00005504,0,14,344,0,3
WBGene00005505,0,9,20,0,6
WBGene00005506,2,7,34,0,4
WBGene00005507,9,20,213,1,6
WBGene00005508,0,10,55,0,6
WBGene00005512,1,25,5,2,6
WBGene00005513,0,44,329,6,17
WBGene00005514,0,297,58,4,34
WBGene00005515,1,35,61,0,10
WBGene00005516,0,29,2,0,5
WBGene00005517,5,105,32,13,16
WBGene00005518,7,99,80,0,5
WBGene00005519,23,60,30,2,5
WBGene00005521,0,25,1,0,3
WBGene00005522,0,34,9,0,12
WBGene00005523,236,259,129,4,45
WBGene00005524,40,336,24,1,10
WBGene00005527,1,92,45,0,8
WBGene00005528,7,61,50,6,16
WBGene00005529,2,168,40,0,2
WBGene00005530,6,138,70,2,34
WBGene00005531,360,73,70,2,12
WBGene00005532,18,23,270,5,6
WBGene00005533,2,928,207,3,31
WBGene00005534,2,85,73,4,22
WBGene00005535,0,30,29,2,16
WBGene00005536,10,30,27,0,7
WBGene00005537,0,79,78,0,20
WBGene00005538,0,90,32,0,9
WBGene00005539,0,3,12,0,5
WBGene00005540,11,273,21,6,12
WBGene00005541,15,529,62,4,50
WBGene00005542,47,738,66,6,60
WBGene00005543,4,910,41,8,25
WBGene00005544,0,62,7,0,11
WBGene00005545,0,25,3,0,13
WBGene00005546,0,3,38,1,3
WBGene00005547,9,52,743,0,7
WBGene00005548,0,243,12,0,4
WBGene00005549,1,14,6,1,2
WBGene00005550,5,141,5,0,12
WBGene00005551,4,85,2,1,5
WBGene00005552,102,75,20,619,66
WBGene00005553,0,62,10,1,2
WBGene00005554,0,19,6,0,5
WBGene00005555,1,126,25,2,7
WBGene00005556,47,106,34,3,6
WBGene00005557,5,97,64,2,20
WBGene00005558,12,85,100,1,12
WBGene00005559,83,75,157,4,21
WBGene00005560,19,45,50,0,25
WBGene00005561,5,28,22,3,5
WBGene00005562,0,5,7,0,0
WBGene00005563,2,19,3,1,3
WBGene00005564,5,9,0,3,1
WBGene00005565,1,7,0,1,1
WBGene00005566,1,88,1,0,9
WBGene00005567,14,22,36,3,3
WBGene00005568,1,101,27,3,30
WBGene00005569,62,29,66,24,6
WBGene00005570,1,89,150,3,10
WBGene00005571,27,18,44,24,3
WBGene00005572,0,65,2,0,1
WBGene00005573,2,75,6,1,5
WBGene00005574,4,125,33,1,9
WBGene00005575,0,93,2,2,5
WBGene00005576,0,85,204,0,4
WBGene00005577,1,44,43,0,9
WBGene00005578,1,83,6,0,8
WBGene00005579,9,8,1,0,4
WBGene00005580,12,10,9,3,6
WBGene00005581,0,28,2,0,4
WBGene00005582,5,100,438,6,60
WBGene00005583,0,19,1,0,4
WBGene00005584,0,143,40,1,10
WBGene00005585,5,117,46,0,17
WBGene00005586,1,116,56,1,11
WBGene00005587,0,22,94,0,9
WBGene00005588,0,73,35,0,11
WBGene00005589,2,254,23,0,6
WBGene00005590,6,62,160,4,5
WBGene00005591,3,91,36,1,56
WBGene00005592,7,49,18,1,17
WBGene00005593,1,2,398,0,3
WBGene00005594,34,5,446,0,7
WBGene00005595,0,18,66,1,3
WBGene00005596,0,19,60,1,2
WBGene00005597,51,24,408,2,1
WBGene00005598,1,9,3,0,3
WBGene00005599,0,27,39,2,12
WBGene00005600,0,7,32,0,4
WBGene00005601,0,8,73,0,4
WBGene00005602,1,4663,984,46,216
WBGene00005603,0,28,55,1,8
WBGene00005604,0,42,67,0,3
WBGene00005605,55,88,45,5,21
WBGene00005606,6,115,42,1,48
WBGene00005607,0,79,3,0,7
WBGene00005608,0,78,196,0,6
WBGene00005609,0,82,205,1,6
WBGene00005610,1,15,582,0,7
WBGene00005611,18,241,48,1,39
WBGene00005612,45,51,36,0,6
WBGene00005613,33,53,48,0,8
WBGene00005614,1,29,10,4,13
WBGene00005615,1,19,11,0,2
WBGene00005616,5,74,12,3,12
WBGene00005617,67,0,216,1,9
WBGene00005618,0,4,16,0,6
WBGene00005621,6,65,7,1,5
WBGene00005622,4,7,10,0,2
WBGene00005623,0,4,89,0,7
WBGene00005624,2,2,17,0,2
WBGene00005625,1,7,78,2,1
WBGene00005626,19,2,121,0,2
WBGene00005627,0,4,30,0,10
WBGene00005628,15,0,55,0,4
WBGene00005629,1,13,15,1,3
WBGene00005630,0,13,14,2,3
WBGene00005631,4,192,8,0,5
WBGene00005632,1,348,16,0,3
WBGene00005633,0,4,3,0,5
WBGene00005634,1,3,34,1,0
WBGene00005635,4,2,293,0,2
WBGene00005638,2031,177,60,12,42
WBGene00005639,1,11,17,0,7
WBGene00005640,22,69,66,2,27
WBGene00005641,25,2487,1225,28,323
WBGene00005642,1601,361,1589,241,275
WBGene00005643,223,1016,650,296,232
WBGene00005644,2,1779,725,29,185
WBGene00005647,438,6818,3138,223,1187
WBGene00005648,9338,23405,11030,2883,9707
WBGene00005649,182,160,106,22,199
WBGene00005650,0,2,1,1,19
WBGene00005651,0,8,1,3,34
WBGene00005652,159,1062,1368,27,822
WBGene00005653,52,597,106,9,101
WBGene00005654,90,203,84,13,74
WBGene00005655,2452,10087,4561,143,2027
WBGene00005657,167,2984,153,16,81
WBGene00005658,1,25,15,0,6
WBGene00005659,12,10,1,1,7
WBGene00005660,14,26,30,3,3
WBGene00005661,8,15,4,0,17
WBGene00005662,2098,2806,1606,1258,2360
WBGene00005663,18078,37471,28215,6386,20107
WBGene00005664,0,233,15,3,57
WBGene00005665,3,82,49,1,52
WBGene00005666,0,59,12,0,53
WBGene00005667,2,28,79,0,6
WBGene00005669,2,21,9,0,6
WBGene00005670,0,91,22,1,49
WBGene00005671,0,40,14,0,18
WBGene00005672,5,5,22,0,6
WBGene00005674,1,4,1,0,3
WBGene00005675,0,26,87,0,11
WBGene00005676,0,48,35,0,21
WBGene00005678,0,78,24,0,1
WBGene00005679,1,8,55,3,7
WBGene00005680,0,16,125,0,6
WBGene00005681,6,16,210,0,11
WBGene00005682,8,9,15,0,5
WBGene00005683,1748,7,529,1,11
WBGene00005684,1,10,14,1,15
WBGene00005685,0,29,9,3,11
WBGene00005686,0,49,7,2,7
WBGene00005687,1,114,110,0,8
WBGene00005688,0,35,4,1,10
WBGene00005689,2,118,84,0,10
WBGene00005690,85,50,36,0,29
WBGene00005691,1,32,68,0,5
WBGene00005692,0,12,47,2,13
WBGene00005693,0,9,48,0,5
WBGene00005694,0,3,763,0,5
WBGene00005696,0,43,184,0,18
WBGene00005698,3,9,6,1,7
WBGene00005699,1,24,153,0,12
WBGene00005700,0,37,75,3,12
WBGene00005701,5,84,50,0,8
WBGene00005702,15,107,565,1,24
WBGene00005703,954,527,200,0,485
WBGene00005704,0,37,11,0,3
WBGene00005705,0,82,7,0,3
WBGene00005706,35,5,2,0,5
WBGene00005707,0,5,332,0,2
WBGene00005708,3,5,57,0,2
WBGene00005709,2,159,117,3,63
WBGene00005710,18,486,111,0,49
WBGene00005711,71,58,84,3,21
WBGene00005712,565,3434,1865,255,2370
WBGene00005713,10,314,68,9,38
WBGene00005714,0,8,2,0,4
WBGene00005715,14,3238,220,4,18
WBGene00005716,0,402,169,1,38
WBGene00005717,26,304,26,4,26
WBGene00005718,12,515,376,36,64
WBGene00005719,6,274,6,3,15
WBGene00005720,7,102,0,1,7
WBGene00005721,9,22,1,0,4
WBGene00005722,2,41,1,1,3
WBGene00005723,0,9,1,0,7
WBGene00005724,151,23,24,1,23
WBGene00005725,0,207,29,0,21
WBGene00005726,0,289,65,15,28
WBGene00005727,0,335,9,1,18
WBGene00005728,6,2,1,0,4
WBGene00005729,3,0,12,0,2
WBGene00005730,1,2,17,0,3
WBGene00005731,0,2,166,0,1
WBGene00005732,0,1,152,0,2
WBGene00005735,42,45,229,1,20
WBGene00005736,43,37,4,0,9
WBGene00005737,2,14,7,0,12
WBGene00005738,4,18,12,0,10
WBGene00005739,1,48,0,1,27
WBGene00005740,0,22,2,0,1
WBGene00005741,0,4,20,0,10
WBGene00005742,5,44,19,0,9
WBGene00005743,8,54,1,3,9
WBGene00005744,159,9,1,0,4
WBGene00005745,4,105,60,0,30
WBGene00005746,4,18,9,0,4
WBGene00005747,0,55,22,1,9
WBGene00005748,2,79,16,0,14
WBGene00005749,2,30,111,0,3
WBGene00005750,1,4,3,0,8
WBGene00005751,0,3,8,0,5
WBGene00005753,1,113,8,0,9
WBGene00005754,2,65,4,1,22
WBGene00005755,2,81,7,0,17
WBGene00005756,0,42,17,1,8
WBGene00005757,0,192,4,0,37
WBGene00005758,5,285,11,1,34
WBGene00005759,3,174,54,2,23
WBGene00005760,1,5,72,0,4
WBGene00005761,3,3,108,1,3
WBGene00005762,44,142,90,0,4
WBGene00005763,1,131,14,1,4
WBGene00005764,0,226,744,1,15
WBGene00005765,0,5,57,0,7
WBGene00005766,0,57,165,1,11
WBGene00005767,0,2,50,0,2
WBGene00005768,1,14,238,0,2
WBGene00005769,0,3,3,0,4
WBGene00005770,106,37,268,0,11
WBGene00005771,5,18,86,1,2
WBGene00005772,0,93,211,0,11
WBGene00005773,0,0,88,0,4
WBGene00005776,1,2,91,3,3
WBGene00005777,0,4,59,1,2
WBGene00005778,1,4,70,0,6
WBGene00005779,0,4,70,0,4
WBGene00005780,0,9,6,2,13
WBGene00005781,1,1,86,0,5
WBGene00005782,3,2,38,1,2
WBGene00005783,0,5,13,0,4
WBGene00005785,0,6,41,0,7
WBGene00005786,0,25,96,0,0
WBGene00005788,0,15,65,1,3
WBGene00005789,0,12,9,0,3
WBGene00005790,0,3,0,0,3
WBGene00005791,17,9,180,1,5
WBGene00005794,0,21,147,0,12
WBGene00005795,4,5,171,11,5
WBGene00005796,4,22,4,1,2
WBGene00005797,0,34,47,0,3
WBGene00005798,0,48,298,0,1
WBGene00005800,0,3,98,0,1
WBGene00005802,0,4,246,0,0
WBGene00005803,1,0,75,0,0
WBGene00005804,0,0,27,0,0
WBGene00005806,1,1,30,0,4
WBGene00005807,6,98,6,2,8
WBGene00005808,3,84,94,1,8
WBGene00005809,4,4,1,2,7
WBGene00005810,1,154,57,0,11
WBGene00005811,3,173,11,0,16
WBGene00005813,0,14,2,0,6
WBGene00005814,3,75,404,0,2
WBGene00005815,0,72,93,0,3
WBGene00005816,0,391,61,0,9
WBGene00005817,1,1,97,0,6
WBGene00005818,14,333,67,0,43
WBGene00005819,4,1,22,0,2
WBGene00005820,5,78,171,0,4
WBGene00005823,1,0,194,0,3
WBGene00005824,0,6,66,0,7
WBGene00005825,10,425,254,4,66
WBGene00005826,0,144,13,0,13
WBGene00005829,1,95,496,2,3
WBGene00005830,5,20,287,0,4
WBGene00005831,0,24,5,0,12
WBGene00005832,92,13404,106,2,852
WBGene00005833,15,3138,188,26,483
WBGene00005834,0,51,2,0,6
WBGene00005835,0,40,16,0,22
WBGene00005836,0,71,4,3,16
WBGene00005837,7,58,5,2,5
WBGene00005838,0,269,123,0,6
WBGene00005841,0,44,6,0,7
WBGene00005842,7,51,2,1,6
WBGene00005843,0,129,98,0,14
WBGene00005844,2,31,3,0,5
WBGene00005845,0,59,163,3,13
WBGene00005846,2,68,9,0,3
WBGene00005847,0,20,50,0,7
WBGene00005848,6,14,97,0,3
WBGene00005849,0,241,334,0,13
WBGene00005850,0,136,91,0,7
WBGene00005851,0,2,36,0,5
WBGene00005852,0,7,95,0,12
WBGene00005853,0,5,81,0,12
WBGene00005854,0,3,48,0,5
WBGene00005855,0,10,30,0,4
WBGene00005858,0,24,1,0,3
WBGene00005859,0,22,125,0,1
WBGene00005860,6,16,80,0,4
WBGene00005862,1,1,104,3,2
WBGene00005863,0,61,303,0,5
WBGene00005864,0,1,67,0,5
WBGene00005865,0,1,107,0,3
WBGene00005866,4,4,183,0,5
WBGene00005867,2,7,103,0,5
WBGene00005868,0,9,183,1,4
WBGene00005869,0,10,124,0,1
WBGene00005870,0,0,114,0,3
WBGene00005871,0,2,281,1,2
WBGene00005872,0,11,31,0,3
WBGene00005873,0,1,94,0,5
WBGene00005874,0,5,16,0,5
WBGene00005875,0,2,169,0,0
WBGene00005876,0,2,169,0,9
WBGene00005877,2,17,138,0,5
WBGene00005878,1,42,33,0,11
WBGene00005880,0,4,77,0,1
WBGene00005881,0,7,108,1,5
WBGene00005882,1,2,27,0,1
WBGene00005883,0,3,31,0,5
WBGene00005884,1,6,28,1,3
WBGene00005885,0,10,80,0,4
WBGene00005886,0,15,88,0,13
WBGene00005887,3,2,301,3,9
WBGene00005888,1,23,141,0,5
WBGene00005889,1,16,155,0,4
WBGene00005890,1,2,293,0,4
WBGene00005891,0,16,146,0,4
WBGene00005892,0,169,60,1,19
WBGene00005893,6,781,201,1,87
WBGene00005894,0,26,180,1,6
WBGene00005895,0,361,160,0,8
WBGene00005896,0,7,37,2,4
WBGene00005897,0,28,16,0,3
WBGene00005898,16,9,29,5,8
WBGene00005899,0,9,154,0,1
WBGene00005900,0,35,137,0,12
WBGene00005901,0,12,31,1,8
WBGene00005902,0,321,50,0,7
WBGene00005903,1,77,7,4,30
WBGene00005904,12,189,30,2,24
WBGene00005905,2,44,3,1,12
WBGene00005907,0,3,106,0,3
WBGene00005908,1,4,153,0,9
WBGene00005909,2,85,67,0,14
WBGene00005910,1,688,48,2,31
