GeneName, elongating_embryo_collapse, L1_larva _collapse, L2 larva  collapse, dauer_larva _collapse,L3_larva _collapse,adult _collapse
C50H2.5,40,6,2,6,0,0
ceh-75,13,40,1,3,0,0
C50H2.7,1,4,1,0,21,5
fipr-11,1,75,13,13,278,17
NA,4,24,23,4,505,18
C50H2.13,173,2207,391,57,428,79
srsx-26,0,108,25,108,32,1
srsx-27,25,558,58,97,60,10
srsx-28,1,108,21,21,13,1
srsx-29,0,135,5,6,4,1
srsx-30,2,229,25,155,30,1
C51E3.6,2317,1124,441,2760,456,259
C51E3.9,626,6061,1511,3453,2125,183
C51E3.10,1499,587,239,641,637,84
glb-12,80,1053,73,661,51,2
C52A11.3,0,727,10,27,1,1
mans-2,5920,5863,2695,4486,5547,694
C52E4.7,45,17,4,19,242,222
C52G5.2,7759,291,2493,515,2661,379
C52G5.3,3,121,17,74,13,3
ril-1,14685,72292,12304,21259,20056,7832
C53A5.2,9718,172,30,56,54,23
kcnl-4,31,2202,195,1518,234,50
C53A5.6,4143,15684,710,2416,1031,1764
C53A5.9,151,155,11,92,5,1
srt-32,0,16,12,213,0,0
C53A5.11,34,490,64,65,2,0
C53A5.13,376,3343,710,2725,1366,328
C53B4.1,4,261,111,77,42,3
C53B4.2,0,50,10,13,104,26
C53B4.3,2657,1949,680,1406,1567,192
C53B4.4,10571,49834,7589,14502,6039,8553
nstp-1,1699,3132,331,1397,483,405
mltn-12,1084,44,230,38,435,12
npr-10,86,2091,65,648,101,75
C53C7.3,32,148,30,30,0,1
acc-2,12,441,70,173,52,6
C53D6.4,2282,1904,434,1437,1048,1091
C53D6.6,3452,861,350,1438,395,229
C53D6.7,4,1023,321,3152,1240,231
C53D6.8,713,18,3,4,0,1
C54C6.4,4,70,5,90,1,0
C54C6.5,2,1073,107,510,118,18
C54C6.6,2447,2369,512,1412,457,457
nhr-169,27,3,7,0,0,1
bgnt-1.8,0,5,192,2,77,2
C54C8.3,20,1,1,0,0,0
C54C8.4,1798,9,342,14,169,1
glct-5,1,8,2,0,1,0
clec-11,0,8,5,65,0,1
nlp-39,0,5,0,8,4,1
cdr-2,604,1166,981,2635,1382,121
cdr-3,1,3,4,3634,1,1
C54D10.3,2,12588,4875,2794,6486,1239
C54D10.4,3,7,1,1,108,63
C54D10.5,163,4884,275,1058,108,10
pals-39,33,435,63,661,188,9
pals-38,50,268,30,706,49,3
C54D10.9,26,360,16,301,38,9
C54D10.10,1159,6481,93,5670,421,25
C54E10.1,23,286,20,139,11,1
ncs-5,47,2250,115,1104,74,11
C54E10.3,7,290,18,149,11,3
nhr-170,489,1519,66,518,128,21
C54E10.6,6617,1142,176,193,186,25
rskn-2,3135,62624,4342,34849,6485,2144
C54G4.2,0,29,4,0,112,48
C54G4.3,1,20,6,3,151,207
C54G4.4,1250,2556,825,756,429,42
C54G4.5,85,432,211,607,104,16
dod-18,662,718,178,307,273,172
C54G4.7,1920,6296,903,4456,1322,1106
C54G4.9,1574,675,257,2239,640,400
C54G10.1,130,51,18,66,18,6
slc-25A29,1110,13061,176,3124,283,108
C55A1.1,0,25,2,93,0,0
C55A1.7,1,62,1,7,0,0
C55A1.6,185,501,13,44,3,0
C55A1.4,40,56,0,78,1,0
NA,5,245,3,3,0,0
C55A1.11,1,304,1,2,0,0
srz-44,19,23,6,25,3,4
NA,0,20,5,1,1,3
C55A6.1,1638,3551,519,1632,1442,2946
ttll-5,7726,17850,2356,8135,3523,2838
C55A6.3,52,777,74,1796,239,136
C55A6.4,38,1024,189,22,1030,213
sdz-8,5555,1594,204,2204,673,39
C55A6.6,3701,2552,190,2356,517,66
C55A6.7,1316,1087,569,470,750,113
pafo-1,5983,3167,910,4025,2000,2109
C55A6.10,3394,6492,794,3906,1369,1220
C55A6.11,77,179,18,117,64,52
ttr-44,61,18385,4486,12382,2945,805
frpr-5,18,5371,531,1370,246,62
C56A3.4,1414,8706,482,2520,438,1133
C56A3.5,2640,3908,829,4655,1375,1046
C56A3.6,4176,5754,1451,9475,1730,1446
C56A3.8,126,691,79,870,632,1003
C56G7.3,1505,4919,520,1051,455,212
CE7X_3.1,39,85,9,51,45,15
fbxa-6,674,3927,744,391,505,46
D1025.1,3191,4881,354,1045,430,160
gcsh-1,395,769,418,7,1324,216
fbxa-141,615,325,53,163,79,26
nspc-16,1,4708,2736,20,1927,461
NA,2,1191,835,2,308,234
nspc-18,0,1274,428,1,317,205
nspc-19,0,4286,1636,10,905,297
NA,0,779,690,8,371,198
cfim-2,8038,17523,2702,7003,3008,5174
D1046.2,3068,2494,351,1921,818,1747
slc-25A26,1937,3531,383,1735,708,422
D1046.4,119,903,94,302,255,79
tpra-1,1056,29346,1705,4923,1563,344
D1053.2,6,44,3,5,1,1
D1053.3,150,1541,340,897,543,46
D1053.4,2317,1731,242,168,407,53
D1054.1,3638,1295,493,1932,1200,238
D1054.3,5170,11106,1488,4805,1767,2272
D1054.5,492,1877,261,323,467,172
NA,2,36,6,172,6,0
D1054.8,227,2189,950,1086,2002,392
D1054.9,2019,381,5115,68,1517,34
D1054.10,2,29,6,51,155,13330
ule-3,0,29,6,80,107,18671
secs-1,868,1224,212,1596,515,664
prp-38,5069,3097,815,2528,1320,2405
D1081.3,1,14,7,1,46,74
D1081.4,62,856,56,538,42,4
D1081.5,59,7,3,40,197,214
D1081.6,234,230,25,394,85,190
D1081.7,1234,1128,404,3842,3309,11545
cdc-5L,12699,13487,3832,10775,5936,8751
zhp-2,414,1546,49,494,348,609
D1086.1,4,1458,19,2442,68,149
D1086.2,10,2463,25,3757,65,28
D1086.3,81,174,186,381,4840,795
D1086.5,11,3314,167,2932,378,66
D1086.6,0,32,9,13,22,3648
D1086.7,15,7,5,88,41,1538
D1086.8,748,1975,510,3243,1275,154
D1086.9,2,736,9,146237,2,2
D2005.1,7,6,0,2,3,0
D2005.3,2888,5424,456,6615,1216,909
D2005.4,712,1008,281,2770,2254,2325
drh-3,3186,2598,2132,5994,3880,3839
D2005.6,7076,881,749,169,505,66
wdfy-2,3641,9912,1338,6548,2429,3268
csa-1,316,543,52,493,64,78
D2013.6,7633,17596,2285,5108,2149,1107
ttll-12,1760,11522,2616,10159,4505,2433
D2023.3,303,2456,302,1064,141,21
D2023.4,1426,2124,856,1667,1821,634
mpst-1,2004,1232,1024,2437,2042,707
D2023.6,1226,1922,621,2442,1874,1450
mans-1,6077,4684,1595,3498,3244,2308
D2030.2,5650,20515,2384,28111,3643,3807
D2030.3,4619,2889,856,4172,1680,1253
D2030.4,8304,17582,3368,8283,6294,4421
mce-1,4904,15365,1893,4639,2843,1759
D2030.7,595,1347,167,3303,1069,2239
D2030.8,2296,2282,353,2575,1065,2164
wdr-23,9500,31711,3256,24230,3111,3874
D2030.11,1382,942,150,747,340,207
D2030.12,241,1140,99,1639,127,37
D2045.2,9127,6435,2727,6326,4862,9102
D2045.5,12,122,9,29,33,106
D2045.7,1174,917,156,397,302,115
D2045.8,77,1464,548,226,353,88
D2045.9,7307,2497,436,624,904,92
atg-10,136,160,46,178,67,51
eif-2Bepsilon,3982,2922,1585,2816,2801,1309
etc-1,7780,5982,1828,6660,3216,2226
hgap-2,16615,24298,7840,9944,7137,3978
piga-1,1451,994,297,871,782,638
D2085.7,976,2211,221,2378,280,78
marc-2,27,327,63,20,31,35
D2089.3,1363,2789,291,1051,173,151
glna-2,50,5123,330,7253,1224,555
DH11.2,1050,6393,763,10657,1507,1085
DH11.5,1862,34488,2818,11089,1540,340
mfb-1,5659,66631,1870,8014,348,288
DY3.8,1582,1028,188,772,229,2604
usp-50,2003,4825,715,1287,1447,2358
E01B7.2,1496,629,228,781,523,272
pde-3,1256,31443,1397,8125,593,669
NA,7859,13763,2119,6801,1834,2640
E01G4.3,3771,24602,4613,40820,4119,1638
E01G4.5,3034,1700,218,10875,108,1431
E01G4.6,58,828,143,114,13408,820
E01G6.1,481,665,2390,169,955,26
E01G6.2,3051,5773,461,1657,360,56
E01G6.3,1504,464,294,229,531,169
mrps-5,8573,14372,3013,9425,6141,3000
E02A10.3,912,2922,254,2358,171,32
E02A10.4,101,6766,779,6469,156,15
E02H1.1,3677,9699,736,8469,1112,473
NA,1900,2123,345,1328,884,1051
E02H1.5,1589,1483,376,1552,921,886
E02H1.6,2735,3745,416,2101,876,438
mrpl-53,1907,2298,1478,1482,1360,456
NA,16,54,31,164,27,39
E02H4.4,855,2803,284,198,196,46
E02H4.5,76,267,38,50,21,4
E02H4.6,152,3,5,7,8,862
NA,10,40,4,37,3,5
E03G2.1,4,207,10,21,1,0
E03H4.2,0,19,5,0,0,0
E03H4.3,0,155,9,0,0,1
E03H4.4,1,349,10,0,1,1
E03H4.5,0,181,6,0,0,2
nhr-174,1,338,6,5,0,1
oac-13,30,4961,31,15,0,3
E03H4.8,749,3768,242,439,344,396
clec-17,480,135044,2074,378,1050,3
E03H4.11,5,18,6,0,0,2
glct-2,0,4,4,0,0,0
eif-2A,3925,24258,4410,21182,12265,14591
E04D5.2,546,1724,157,942,121,27
cut-4,140,598,615,702,488,138
E04D5.4,453,872,113,1465,166,45
E04D5.5,325,2805,413,638,157,35
ugt-43,39,167,29,53,194,118
ugt-44,95,4663,938,117,3569,1481
F01D4.5,2474,988,220,706,386,670
srb-17,36,218,21,99,15,5
F01D4.8,104,2368,175,10728,248,9
bgnt-1.1,1,314,24,105,17,3
F01D5.1,53,2902,1736,107,2576,213
F01D5.2,1,46,57,6,205,53
F01D5.3,2,267,168,36,398,48
F01D5.5,437,1400,1446,266,1996,86
F01D5.6,6371,435,3598,236,770,8
F01D5.7,0,23,4,1,81,3
F01D5.8,290,1066,124,106,526,386
cyp-37A1,108,6665,1624,540,1468,700
F01D5.10,272,333,529,222,220,10
NA,0,11,2,0,0,0
skih-2,2342,2619,1613,3994,3729,2125
F01G4.4,960,1114,442,3206,1392,3516
F01G4.6,26933,1024216,57196,206771,75129,49738
tkt-1,12176,30308,27357,48848,40802,29816
F01G10.4,4,6,3,72,1,0
F01G10.5,7,19,5,1,604,158
F01G10.6,461,1274,489,159,244,5
lipl-7,5868,5539,414,2848,672,411
F01G10.9,5639,249,1041,356,4360,114
F01G10.10,2215,141,2131,118,1064,37
F02A9.1,33,1541,138,3410,116,18
F02C12.1,774,3726,519,1978,1163,452
F02C12.2,7,736,43,30,16,3
F02C12.3,150,273,15,63,20,10
irld-2,14,535,72,320,23,7
NA,5012,1836,460,21618,859,36
F02D8.1,4,167,33,83,15,2
F02D8.4,274,7634,625,3874,1575,1183
nlp-59,274,4263,208,3071,186,65
F02D10.2,0,8,1,1,0,0
F02D10.3,3,381,19,11,15,1
F02D10.6,80,15,10,6,3,154
set-8,1,17,6,0,0,0
F02E9.1,2497,553,528,1029,626,206
F02E9.3,22,35,7,33,72,131
F02E9.5,4810,17586,1274,2700,1253,581
F02E9.7,2175,5140,497,3191,929,1132
dpt-1,4713,6185,2815,6286,6465,4181
F02E9.10,5637,5998,1867,3242,2204,2669
NA,10,20,4,6,4,106
F02H6.2,362,45,6,13,3,730
F02H6.3,235,24,5,5,1,655
sqrd-1,2256,9367,637,3642,1147,212
F02H6.6,0,39,3,0,0,6
F02H6.7,0,24,5,1,0,0
F07A5.2,47,17,4,17,654,459
scav-6,4391,2373,428,2151,1063,275
F07A5.4,5525,1197,166,144,155,14
F07A11.1,75,345,28,32,15,12
gfat-1,22491,19935,4855,9337,10642,42237
F07A11.4,6508,9335,3048,4654,5731,947
F07A11.5,64,3564,462,583,1920,372
din-1,40537,108656,21878,34787,12609,7763
F07B10.4,0,140,15,119,10,0
lgc-36,3,94,33,524,23,1
srsx-31,12,5,3,6,2,1
F07C6.2,22,196,90,285,314,83
F07C6.3,3,3050,657,988,788,206
F07C6.4,15115,47966,4119,6037,3331,3228
F07D3.3,5,37,10,14,283,13
F07H5.6,106,108,37,57,28,3
F07H5.7,176,652,99,5230,52,9
F07H5.8,339,523,918,43,566,33
pho-13,149,326,704,6,1643,463
F07H5.10,238,363,63,983,472,1150
F07H5.13,65138,895,841,95,383,70
acox-1.1,5843,4039,3467,1048,7860,1816
acox-1.2,259,289,8254,81,6073,795
acox-1.3,25,230,221,4,349,484
acox-1.4,4,1917,1939,100,2482,446
F08A8.5,134,308,44,57,52,13
fbxa-101,800,427,131,3574,799,989
kcnl-2,251,12137,837,7676,648,178
prmn-1,11448,8471,4258,5613,3395,435
F08B12.4,2648,11681,2684,2449,4746,1936
srbc-61,1,35,3,58,0,1
scl-24,0,2154,256,359,8,26
F08G2.4,2760,2296,175,1540,255,233
F08G2.5,85,1377,128,46,366,13
F08G2.7,3485,3067,457,224,541,199
F08G2.8,197,1000,70,393,120,27
dsb-1,389,606,76,1196,957,2360
acl-13,8,245,21,4,119,62
F08G5.3,179,3682,470,5150,269,63
ugt-65,117,1792,1303,420,2025,98
irg-4,1,6739,7422,8,3308,452
F08G12.1,5375,3773,741,1422,915,385
snrp-40.1,5907,5437,984,1684,1278,1888
F08G12.3,890,3611,166,471,204,133
F08G12.5,1155,857,72,775,129,52
nlp-57,106,1045,201,912,148,45
F08H9.2,0,19,2,4,126,596
F08H9.3,53,459,71,1425,2,2
F08H9.4,22,309,20,18186,8,4
clec-227,109,337,412,14,870,173
clec-57,204,1372,2504,55,1998,152
clec-56,239,2988,1996,428,3251,1001
clec-54,12,2306,499,51,807,392
clec-55,7,731,45,101,44,16
spin-3,1,383,120,163,1023,139
F09A5.2,94,2653,212,274,313,54
F09A5.3,84,4363,38,1312,23,4
mob-2,9573,99101,2561,9757,2922,1831
oac-14,25,1537,1533,127,1572,281
F09B9.4,1791,8835,1757,10998,3755,448
F09B9.5,89,2464,160,395,212,36
mlt-9,5708,793,11442,484,6079,64
dhhc-1,5559,5376,347,1121,532,472
F09B12.3,4825,31555,21876,811,20222,1649
F09B12.5,38,1149,37,50,16,5
F09C3.2,10,22614,757,3742,705,340
fbxb-68,27,53,5,2,0,108
fbxa-103,274,188,12,3,0,17
fbxb-69,512,319,32,59,8,30
F09C6.1,4,296,8,7,11,9
fbxa-44,16,1552,31,12,19,1
F09C6.3,0,66,4,7,2,1
fbxa-45,0,28,2,2,1,0
nhr-262,8,16,7,11,1,0
F09C6.10,1,10,3,6,7,60
F09C8.1,141,3995,1924,28,3184,886
F09C8.2,21717,39563,3835,5468,2994,2159
spe-43,10,30,2,41,31,7
crld-1,5953,2636,1142,1681,2221,933
scl-14,1,734,73,7,14,4
nlp-79,33,390,70,2522,50,41
hpx-2,0,31,10,36,4,0
ttr-21,110,2895,1926,775,586,90
cpt-5,178,759,145,107,1157,450
nhr-175,77,73,13,14,6,0
F10A3.1,1,28,3,0,3,0
fbxa-88,3,57,13,6,17,2
fbxa-18,1,25,5,1,14,3
F10A3.4,7,6201,927,12,1386,516
F10A3.11,320,59,6,9,5,1
F10A3.12,42,14,4,63,1,0
F10B5.2,1411,986,683,3914,1089,977
F10B5.3,47,362,68,30575,1787,2
pch-2,1584,289,235,1039,414,955
F10B5.8,1896,1944,803,4584,2578,3366
tmem-138,1052,126,27,60,10,0
F10C2.3,140,3656,171,300,219,50
F10C2.4,3691,6129,2028,5862,3092,5090
F10C2.5,2458,1104,855,1621,1871,918
F10C2.7,6,51,21,231,31,3
F10D11.2,6443,4477,826,2536,757,1575
F10D11.3,0,12,4,14,90,139
F10D11.4,0,8,1,2,31,15
F10D11.5,20,43,7,13,141,79
F10D11.6,639,6880,7275,6585,4458,414
pfas-1,286,7318,3098,12837,4530,1444
lips-3,953,89,1185,52,599,12
lron-5,76,9320,571,2324,280,35
clec-151,1,69,21,40,378,155
clec-153,4,232,46,16,64,143
F10G8.1,4,51,4,8,479,104
F10G8.2,29,212,9,49,53,25
eak-6,77,652,45,162,13,1
nubp-1,3810,7564,1116,4417,2643,1741
ercc-1,566,5107,356,2620,585,1324
F10G8.8,34098,5482,1879,6038,3250,435
F10G8.9,572,1812,227,1460,438,554
F11A1.2,4,485,20,224,2,1
acs-14,8728,11332,3033,2288,7177,1556
eif-2Bdelta,3463,3248,912,1797,2056,2201
F11A5.3,1,24,1,52,0,0
NA,30,19,1,26,0,0
F11A5.5,423,14,13,4,11,0
irld-26,3,5,4,14,0,0
oac-15,4,21,30,5,20,0
F11A5.9,132,8920,461,2599,412,1301
stdh-2,4,212,32,176,25,2
F11A5.13,0,432,2,255,3,0
F11A5.15,17,224,6,2713,12,25
NA,295,2930,99,2239,461,347
lex-1,13266,14915,4811,8998,4855,12704
repo-1,5314,3885,768,2125,1436,1265
mig-32,4576,2707,1274,2334,895,1889
mon-2,14413,17059,6485,12036,8478,6684
F11A10.5,8290,12201,874,3139,1628,4286
F11A10.6,4849,10749,1911,1773,2341,1177
rbm-34,6538,5820,930,5011,2257,817
F11C1.1,4624,2364,509,1336,691,117
mff-1,5831,10092,337,2560,313,139
scav-4,767,2101,929,966,2358,274
F11C1.4,21,1088,72,654,52,16
vwa-8,13744,17789,4930,8397,10036,4066
F11C3.1,636,1019,55,209,61,35
clec-255,5,38,2,0,0,2
F11D11.3,21,394,4,4,11,49
F11D11.4,1,18,2,0,1,1
clec-254,1,2,0,6,1,5
F11D11.6,0,3,1,3,1,0
clec-252,2,2,0,3,2,6
clec-251,1,21,6,8,0,2
NA,1567,13953,743,1218,642,175
F11E6.3,463,8465,3267,468,17258,11272
F11E6.4,1584,63,74,38,183,36
F11E6.6,17,580,95,138,285,13
F11E6.7,4060,2025,1209,1780,1291,7048
F11E6.8,8122,12877,1018,992,1393,108
F11E6.9,7724,4787,769,95,889,0
F11E6.10,481,171,28,152,8,1
F11F1.1,344,1652,176,803,509,257
F11F1.4,7,4,3,327,0,0
F11F1.5,11,1,8,279,0,0
NA,4184,70,34,398,21,4
F12F6.1,29780,9240,2140,5572,3262,7479
F12F6.7,1712,1459,514,2668,1255,2250
F13A7.1,5,60,1,2,313,694
F13A7.7,0,51,5,16,63,42
F13A7.11,157,499,69,76,68,39
F13A7.12,630,118,66,4,46,3
sre-36,119,58,18,66,3,3
F13B12.1,7459,13136,1607,11885,3145,4315
F13B12.2,606,738,270,1637,538,95
F13B12.3,1717,966,103,2423,314,82
F13B12.4,1280,110,480,116,274,12
F13B12.6,7653,23791,1683,6993,1897,3433
F13B12.7,5,7,1,6,13,2
F13D2.1,6678,5526,2908,10049,2834,450
gnrr-6,108,1006,89,1027,50,12
gnrr-7,24,652,80,240,39,22
F13D12.3,77,4778,240,5699,592,352
F13D12.5,256,640,253,1610,1445,2777
F13D12.8,966,1722,292,1674,387,111
F13D12.9,4381,1887,2614,6301,4808,371
F13D12.10,74,1404,224,707,254,21
F13E6.1,21517,32304,2670,6916,3796,1053
F13E6.2,246,2675,141,621,76,11
NA,328,317,46,383,35,84
yap-1,13144,67361,3288,7420,2637,1488
plpp-1.3,4208,3449,1208,957,1976,548
F13E9.1,2556,3457,807,3015,1115,1342
fipr-14,0,20,1,2,2,1
fipr-15,6,4,0,0,0,0
F13E9.4,3,29,5,107,0,2
F13E9.5,3,44,5,47,28,126
sdz-13,33,31,7,10,0,5
F13E9.8,0,588,11,146,5,1
F13E9.9,0,22,5,27,3,1
F13E9.10,8,1,3,0,1,4
F13E9.11,63788,39689,1018,2595,491,194
F13E9.12,10,1368,136,797,143,32
ztf-2,42,8067,8869,123,2605,62
F13G3.3,1490,202,378,86,412,13
dylt-1,6274,12771,7300,4311,3034,2233
ttx-7,5165,17357,2177,4941,4466,3051
F13G3.6,1836,2794,246,3207,611,529
F13G3.7,7193,6119,2613,4262,2186,1768
F13G3.10,4231,3336,1533,2348,3510,2184
mrpl-13,4103,5701,1063,3238,1843,887
F13G3.12,42,943,92,915,233,51
irld-4,0,1,0,4,38,24
F13H10.1,34,131,131,172,52,2
F13H10.3,4044,16168,3449,4299,3020,2798
mogs-1,3226,5764,2348,3631,4914,4427
F13H10.5,5723,567,133,61,178,19
F13H10.6,2187,16899,1246,5619,1053,872
nhr-264,22,3,5,0,3,1
F14B4.1,37095,765,369,244,94,107
hxk-1,6044,27972,3218,3298,2609,11945
rpoa-2,10383,6648,2713,8360,5794,3722
sdz-14,96,49,3,1,2,146
F14B6.2,343,10844,519,1436,321,81
F14B6.3,241,104,6,3,3,296
F14B6.4,152,188,18,41,35,12
oac-16,17,54,14,1,2,0
F14B6.6,598,1275,87,97,222,22
F14D7.1,0,6,3,1,12,3
F14D7.2,342,52,5,8,9,2163
F14D7.3,0,86,3,32,3,0
F14D7.5,0,18,1,4150,4,2
F14D7.6,67,897,223,127,1067,196
F14D7.7,9,81,10,29,13,19
F14D7.8,23,1450,49,313,38,7
F14D7.9,0,102,3,1,4,0
F14D7.10,0,33,5,25,11,9
F14D7.11,1,238,18,4,13,0
F14E5.1,75,41,104,5,168,42
F14E5.2,36430,24514,11105,24123,14185,9879
acp-3,4,61,9,2,25,31
acp-2,71,525,71,374,160,83
lips-10,3058,5797,2114,231,2437,180
acp-4,1,337,19,30,9,1
git-1,10570,9259,1139,1706,1321,659
mboa-7,3674,4842,721,1195,1116,337
F14F3.4,137,69,596,227,551,3
ntr-2,22,1038,37,420,25,9
cyp-13A11,29,149,10,161,1,1
cyp-13A12,96,351,81,186,88,11
F14F7.4,0,23,4,3,232,208
F14F7.5,169,150,8,8,143,50
NA,0,173,3,22,0,1
srz-1,0,18,1,12,0,0
srz-103,1,3,7,0,2,0
F14F8.8,0,93,30,35,28,2
srz-101,1,73,6,119,0,1
shw-1,1370,17617,867,5882,859,234
nlp-55,317,21552,930,8160,431,110
best-12,0,18,9,12,134,26
F14H3.3,322,15,5,1,1,388
F14H3.4,243,11,2,1,2,612
F14H3.5,143,15,1,2,1,370
F14H3.6,2616,47,10,34,38,8883
fbxa-100,7,54,9,23,4,0
cyp-35D1,19,43,60,93,35,25
nhr-176,690,218,106,986,311,48
F14H3.12,0,559,21,18,252,71
obr-2,2210,7002,865,7895,1004,795
F14H8.2,2,835,60,200,20,0
F14H8.4,4,1873,37,180,7,2
F14H8.5,0,218,11,33,2,0
sre-38,1,23,3,3,1,1
F15A4.2,865,24,3,3,1,119
sre-37,4,53,1,112,2,0
F15A4.5,42,1556,147,1103,145,42
F15A4.6,2,14060,2591,1387,2168,777
NA,1,499,31,843,9,14
arrd-9,6,14,2,3,32,22
F15A4.10,165,11,3,5,4,219
fbxb-102,309,7,7,0,2,25
inft-2,3007,4747,761,3253,1936,4880
try-10,45,271,27,177,24,139
F15B9.6,31,495,88,790,108,13
F15B9.8,41671,246,5415,417,932,26
ubql-1,19595,51269,8231,16305,13337,7287
clec-101,5,7,4,754,0,1
F15D3.4,20,22,4,8,219,207
F15D3.5,0,8,0,1,0,0
F15D3.6,1881,10005,1066,4384,1915,1215
timm-23,3559,14063,2511,19966,2993,1494
pals-1,120,19,15,211,109,13
F15D4.2,1355,2129,303,4975,524,783
romo-1,5506,2029,1660,3331,1772,740
F15D4.4,62,2808,175,198,180,34
F15D4.5,646,1907,201,309,720,340
F15D4.6,148,193,11,52,40,18
F15G9.1,11937,2661,997,3114,961,1598
F15G9.2,1,64,6,14,0,0
F15G9.5,748,7435,261,836,164,119
F15G9.6,7,157,11,14,27,3
F15H9.1,23,17,5,0,26,5
tag-314,8,7,16,1,75,34
F15H10.5,0,12,5,81,0,0
F15H10.7,85,297,49,94,94,33
F15H10.8,2336,42,1574,83,261,1
F16A11.1,3596,29761,2030,9382,1923,3283
rtcb-1,1392,2125,490,1887,1384,1150
ppfr-1,11241,22316,5016,9151,6432,6713
F16B12.1,49,171,37,165,68,10
F16B12.4,3540,5947,439,591,241,219
F16B12.5,8,48,1,4,5,0
F16B12.6,9743,25292,2621,3200,1991,4252
F16B12.7,16,11,3,6,8,11
nhr-281,24,168,8,108,10,1
F16C3.1,61,10261,586,2291,315,64
F16C3.2,1035,29937,181,3795,480,167
tbcd-1,6207,3731,1353,5610,2733,4000
F16D3.6,9,30,10,1186,12,3
ser-5,364,5434,278,525,185,69
clec-42,140,18463,2908,91,405,10
clec-246,1,182,7,31,10,7
F16H6.3,1,0,1,2,0,2
F16H6.4,0,34,57,85,143,2
F16H6.7,132,375,80,1250,178,9
F16H6.9,7,28,7,1,9,5
F16H6.10,491,4680,298,2275,1196,151
nhr-27,0,177,8,12,4,1
phf-32,3,2034,8,114,3,3
F17A2.4,0,39,1,5,0,2
F17A2.13,789,34,12,14,2,270
F17B5.1,6,909,1501,240,2085,83
oac-17,91,18,33,0,8,0
clec-109,0,5,8,3,0,3
F17B5.4,34,1,10,112,0,0
clec-110,28,1,3,0,2,2
F17C8.3,281,8901,367,2099,328,35
F17C8.6,3,4,3,4,0,0
F17C8.7,88,597,32,101,250,258
F17C11.2,65,30805,1731,15597,898,223
F17C11.4,828,28279,1048,9741,1238,919
clec-221,6,255,17,94,38,31
F17C11.6,8,487,271,189,694,122
vps-36,4226,12203,2181,8268,2653,1270
eef-1G,33851,184628,62749,257634,91223,72557
ctf-4,3565,2034,1460,4225,2887,7120
F17C11.11,259,2312,341,315,945,666
F17C11.12,1367,1092,662,344,1606,248
F17E5.2,4696,5501,850,2375,1378,518
F17H10.1,2471,10219,1312,2718,1898,1126
F17H10.2,173,65269,452,16293,919,742
snx-17,6370,7059,1032,4100,1217,266
F17H10.4,0,2,2,1,0,0
F18A11.2,3458,484,818,112,257,18
NA,2909,1453,567,1307,812,345
F18A11.5,894,7255,395,1377,314,73
NA,23,20,12,19,26,47
F18C12.3,2869,2285,389,2757,1095,350
F18C12.4,10,8,1,7,32,25
papl-1,651,1020,969,80,3139,1346
srt-43,19,165,7,419,7,6
F18H3.1,1664,2528,232,1093,342,288
F18H3.4,3420,22401,1266,1541,889,648
NA,0,19,5,7,0,3
NA,0,12,5,15,3,0
NA,5,14,5,64,4,0
F19B2.5,60,6652,2749,1215,4978,325
F19B2.6,123,1178,194,479,433,142
F19B2.7,2,242,7,15,2,0
srz-16,0,17,6,6,0,2
F19B6.1,6908,28751,3849,14586,7937,9226
F19B6.3,4,15,13,18,194,8
wht-5,11,36,8,7,346,340
F19C6.2,4366,12799,945,1996,1039,519
F19C6.3,49,7055,228,878,117,19
F19C6.4,519,1261,151,647,226,95
F19C6.5,2322,1767,707,960,584,112
F19D8.2,19,89,12,43,17,15
nekl-3,1885,5088,575,2422,834,103
glb-13,267,1052,358,1181,248,31
F19H6.3,7,23,4,0,6,40
F19H6.4,175,14,3,3,7,1306
F19H6.5,0,15,1,0,2,1
F19H6.6,0,495,12,0,9,4
F19H8.2,284,8970,3536,742,4115,104
mltn-9,5105,403,4339,432,5986,158
mltn-10,418,55,29,44,87,31
NA,948,174,93,87,0,1
F20B10.3,35,530,450,39,289,10
elli-1,267,103,114,650,534,2521
F20C5.4,563,2816,282,1653,579,132
F20C5.5,1894,733,55,641,59,12
F20C5.6,30954,6338,688,1306,174,137
F20C5.7,12,138,22,36,2,0
F20D1.1,12013,21050,4564,3232,2069,2680
tbc-1,7645,6162,1251,2378,1073,1614
F20D1.3,5030,39098,3923,11255,4838,4287
plp-2,107,504,8,138,19,5
iglr-1,2877,2770,229,661,156,23
cutl-3,2193,1738,169,466,800,58
slc-25A18.1,4018,4981,1469,2138,2519,878
emre-1,944,5436,452,6745,601,262
srz-48,0,3,3,26,0,0
srsx-2,0,5,6,403,0,0
NA,0,7,1,5,0,0
F20E11.7,5,1,5,1,1,0
F20G2.1,16,1684,101,104,161,19
F20G2.2,10300,3264,1486,2534,3414,912
F20G2.3,5304,1855,2841,2660,3200,144
F20G2.5,84,419,115,31,305,6
F20G2.6,34,2087,488,1016,60,13
smgl-1,9502,4913,3147,5717,6247,3667
F20G4.2,290,1242,175,449,223,643
F21A3.2,36,109,31,56,10,0
F21A3.3,197,2942,261,388,687,182
F21A3.4,16,150,6,119,111,25
prde-1,157,212,84,1422,611,359
glb-14,9,1299,90,444,92,36
lgc-31,262,6189,583,1998,391,92
