GeneName, elongating_embryo_collapse, L1_larva _collapse, L2 larva  collapse, dauer_larva _collapse,L3_larva _collapse,adult _collapse
aqp-11,6150,1929,1247,1519,3184,902
arc-1,3163,4481,701,2077,1222,373
ard-1,5321,8141,3518,6481,6765,3691
arf-1.2,70308,96281,24066,19148,23487,11609
arf-3,68771,71804,24660,25358,28470,15334
arf-6,3897,4375,1278,1382,1216,658
arg-1,0,465,14,33,3,5
ark-1,9583,13261,3292,4338,2273,2407
arl-1,6120,4115,1212,2398,2209,1290
arl-3,2291,6105,1084,1390,185,32
arl-5,2584,1332,347,630,427,324
arf-1.1,6,1869,20,38,133,9
NA,20,304,21,147,35,15
arl-8,9690,20820,3995,4985,3334,3533
arl-6,1007,473,41,137,16,3
arr-1,5094,8162,996,2227,893,884
aars-1,1825,2180,590,2213,1340,708
aars-2,10288,34154,10350,18268,17562,23531
art-1,14200,18043,11897,8729,14400,6475
arx-1,10676,43200,5469,4409,4369,3372
arx-2,11695,46207,4605,7125,5186,4070
arx-3,10215,39504,3816,5948,3866,2581
exos-4.2,883,1673,313,1120,607,1180
arx-5,5668,2384,1246,1651,1164,802
arx-6,9839,14078,4212,3119,2755,1836
arx-7,3230,1942,674,872,881,746
asb-1,2974,2568,1387,4929,4523,5722
asb-2,17920,85800,25770,40331,34175,12832
trip-4,2072,6271,898,3907,1220,1363
asg-1,5742,5078,2691,4065,6113,5176
asg-2,7855,13487,7083,7737,12463,3161
asm-1,191,2797,347,918,552,225
asm-2,50,3896,619,1954,979,462
asm-3,0,1498,816,37,670,2100
asp-1,3046,656690,122589,4763,243205,110429
asp-2,2315,77999,31079,810,73613,25888
asp-3,2942,137737,47224,4498,94891,32742
asp-4,37681,46868,5955,32008,15278,11394
asp-5,811,294351,45754,2732,75053,35514
asp-6,370,1036265,52951,3136,97759,45561
atf-2,42884,1249,3491,176,1489,46
atf-5,13740,29295,10898,8522,7050,2152
atf-6,9547,27305,3226,5425,1472,630
atf-7,23041,155649,19720,16511,9222,7969
atgp-1,35949,50354,3561,6768,4462,1284
atgp-2,8090,20074,3492,3610,3245,958
atl-1,6307,6996,2548,8733,4906,4180
atm-1,4389,8261,1312,2200,1812,3460
atn-1,9609,42672,10173,7578,23122,7764
atp-2,71508,503637,167809,158815,241532,167117
atp-3,20696,136333,17634,38849,29512,15043
atx-2,27330,87890,16866,17693,17820,23623
avr-14,1009,5970,782,2844,695,110
avr-15,149,21021,670,8493,968,374
baf-1,11083,4165,3110,3199,4001,3152
bag-1,2761,1196,571,1392,1695,1193
bam-2,12547,36379,2319,4143,3409,1107
