,elongating embryo Ce,L1 larva Ce,L2 larva Ce,dauer larva Ce,L3 larva Ce,adult Ce
WBGene00000159,6376,6038,877,2294,1687,1071
WBGene00000160,27516,78817,11987,7343,7601,4892
WBGene00000161,26135,32261,6560,7774,6661,3635
WBGene00000162,8451,10027,2279,3261,2369,2856
WBGene00000163,14644,10832,2443,7217,3429,4745
WBGene00000164,9725,7930,1387,1660,1297,678
WBGene00000165,5825,1763,957,1607,1365,1678
WBGene00000166,219,6532,330,882,245,21
WBGene00000168,983,713,369,499,433,5064
WBGene00000169,117,7384,1333,1179,2750,1577
WBGene00000170,291717,396171,16802,43121,6321,1368
WBGene00000171,1,13,9,960,8,39
WBGene00000172,3124,2715,1486,578,2914,368
WBGene00000173,14,454,20,32,28,4
WBGene00000174,131,1175,43,1629,35,22
WBGene00000175,5372,60753,6841,980,14829,4699
WBGene00000176,133,4543,1787,144,6128,1287
WBGene00000177,52,1174,183,943,506,98
WBGene00000178,13579,9372,2334,1508,5755,1210
WBGene00000179,6150,1929,1247,1519,3184,902
WBGene00000180,3163,4481,701,2077,1222,373
WBGene00000181,5321,8141,3518,6481,6765,3691
WBGene00000182,70308,96281,24066,19148,23487,11609
WBGene00000183,68771,71804,24660,25358,28470,15334
WBGene00000184,3897,4375,1278,1382,1216,658
WBGene00000185,0,465,14,33,3,5
WBGene00000186,9583,13261,3292,4338,2273,2407
WBGene00000187,6120,4115,1212,2398,2209,1290
WBGene00000188,2291,6105,1084,1390,185,32
WBGene00000189,2584,1332,347,630,427,324
WBGene00000190,6,1869,20,38,133,9
WBGene00000191,20,304,21,147,35,15
WBGene00000192,9690,20820,3995,4985,3334,3533
WBGene00000193,1007,473,41,137,16,3
WBGene00000195,5094,8162,996,2227,893,884
WBGene00000196,1825,2180,590,2213,1340,708
WBGene00000197,10288,34154,10350,18268,17562,23531
WBGene00000198,14200,18043,11897,8729,14400,6475
WBGene00000199,10676,43200,5469,4409,4369,3372
WBGene00000200,11695,46207,4605,7125,5186,4070
WBGene00000201,10215,39504,3816,5948,3866,2581
WBGene00000202,883,1673,313,1120,607,1180
WBGene00000203,5668,2384,1246,1651,1164,802
WBGene00000204,9839,14078,4212,3119,2755,1836
WBGene00000205,3230,1942,674,872,881,746
WBGene00000206,2974,2568,1387,4929,4523,5722
WBGene00000207,17920,85800,25770,40331,34175,12832
WBGene00000208,2072,6271,898,3907,1220,1363
WBGene00000209,5742,5078,2691,4065,6113,5176
WBGene00000210,7855,13487,7083,7737,12463,3161
WBGene00000211,191,2797,347,918,552,225
WBGene00000212,50,3896,619,1954,979,462
WBGene00000213,0,1498,816,37,670,2100
WBGene00000214,3046,656690,122589,4763,243205,110429
WBGene00000215,2315,77999,31079,810,73613,25888
WBGene00000216,2942,137737,47224,4498,94891,32742
WBGene00000217,37681,46868,5955,32008,15278,11394
WBGene00000218,811,294351,45754,2732,75053,35514
WBGene00000219,370,1036265,52951,3136,97759,45561
WBGene00000220,42884,1249,3491,176,1489,46
WBGene00000221,13740,29295,10898,8522,7050,2152
WBGene00000222,9547,27305,3226,5425,1472,630
WBGene00000223,23041,155649,19720,16511,9222,7969
WBGene00000224,35949,50354,3561,6768,4462,1284
WBGene00000225,8090,20074,3492,3610,3245,958
WBGene00000226,6307,6996,2548,8733,4906,4180
WBGene00000227,4389,8261,1312,2200,1812,3460
WBGene00000228,9609,42672,10173,7578,23122,7764
WBGene00000229,71508,503637,167809,158815,241532,167117
WBGene00000230,20696,136333,17634,38849,29512,15043
WBGene00000231,27330,87890,16866,17693,17820,23623
WBGene00000232,1009,5970,782,2844,695,110
WBGene00000233,149,21021,670,8493,968,374
WBGene00000235,11083,4165,3110,3199,4001,3152
WBGene00000236,2761,1196,571,1392,1695,1193
WBGene00000237,12547,36379,2319,4143,3409,1107
WBGene00000238,3984,9334,2011,3796,1857,459
WBGene00000239,488,4590,1030,817,2391,601
WBGene00000240,3986,54629,3778,6306,6925,2228
WBGene00000241,1387,2589,121,500,41,8
WBGene00000242,2672,731,117,626,74,7
WBGene00000244,908,3385,208,744,114,15
WBGene00000245,506,11469,2782,1154,1574,778
WBGene00000246,31,1452,512,2374,1616,122
WBGene00000247,4589,4460,981,6699,1282,1069
WBGene00000248,18665,10913,3108,820,1447,1134
WBGene00000249,8327,5881,1127,1666,721,1199
WBGene00000250,359,478,158,1310,475,1170
WBGene00000251,285,579,49,57,27212,328
WBGene00000252,43,58,43,32,13021,137
WBGene00000253,6702,9630,2849,3409,3724,1368
WBGene00000254,19120,27937,8340,21375,13498,10975
WBGene00000255,12,22,89,49,209,30
WBGene00000256,0,21,8,25,13524,1124
WBGene00000257,6911,3359,1498,2856,1755,4739
WBGene00000259,2113,7994,952,4485,1886,1422
WBGene00000262,4270,2230,341,601,240,296
WBGene00000263,13479,32951,12508,11577,15374,8164
WBGene00000264,1380,831,375,1408,547,1252
WBGene00000265,2455,941,396,1302,880,1366
WBGene00000266,14089,3713,2235,2831,4988,472
WBGene00000267,1190,1417,135,1075,276,57
WBGene00000268,3973,37553,4445,9056,3653,2912
WBGene00000269,1010,2555,471,1072,956,735
WBGene00000270,1157,923,167,1068,513,347
WBGene00000271,5662,8397,907,4901,1634,2344
WBGene00000272,4621,124,278,394,65,1
WBGene00000273,5096,468855,19245,348158,21386,21948
WBGene00000274,2639,3356,1115,3611,2749,3578
WBGene00000275,10135,3935,2381,3885,3293,8228
WBGene00000276,12501,81186,5332,55921,5758,3039
WBGene00000277,10094,460434,21366,96231,8136,3488
WBGene00000279,809,1517,202,895,213,68
WBGene00000280,491,1278,249,1121,176,25
WBGene00000281,56,15964,2531,7561,5835,1269
WBGene00000282,2521,42231,5115,9602,8888,3976
WBGene00000283,1789,4959,1069,1018,1903,872
WBGene00000284,556,19315,863,3972,432,93
WBGene00000285,423,2770,453,2724,678,76
WBGene00000286,507,13608,544,6721,448,56
WBGene00000287,303,1175,171,697,236,22
WBGene00000288,38,9645,924,3775,384,47
WBGene00000289,44782,39291,4165,5903,3080,5887
WBGene00000292,18346,14472,2545,5140,3606,2172
WBGene00000293,16768,39056,3456,13884,5930,5577
WBGene00000294,14984,50473,4577,11994,7070,3906
WBGene00000295,367,8342,366,729,193,53
WBGene00000296,14,1497,98,755,105,29
WBGene00000298,1377,7489,676,1390,2751,1195
WBGene00000301,122158,2488,524,59,32,5023
WBGene00000302,3242,3991,530,1439,555,90
WBGene00000366,74158,150055,16293,30351,11546,18775
WBGene00000367,3817,24196,2023,5933,1714,347
WBGene00000368,5188,25011,2727,3777,1676,376
WBGene00000369,10975,15503,2881,4955,3917,5147
WBGene00000370,997,120945,3516,33787,5536,2536
WBGene00000371,19385,24129,12469,19984,15828,8496
WBGene00000372,164,321,19,110,10,2
WBGene00000373,403,3538,405,5326,575,502
WBGene00000374,2644,7010,1048,4724,1483,341
WBGene00000375,1312,1313,273,1744,961,860
WBGene00000376,41472,57344,7517,18311,8896,19007
WBGene00000377,11904,45872,14833,27376,18932,18513
WBGene00000378,8771,38967,16433,27331,15958,15110
WBGene00000379,11696,66133,15087,87461,20482,16267
WBGene00000380,20501,146933,27642,84987,34188,30560
WBGene00000381,8596,39430,16783,26417,18669,17893
WBGene00000382,3264,2342,580,3575,1353,1742
WBGene00000383,29010,113882,3980,13055,3447,6814
WBGene00000386,3819,4872,739,4582,2255,8598
WBGene00000387,28794,3459,1079,905,690,2581
WBGene00000388,479,24,9,10,3,954
WBGene00000389,77,9,2,11,90,137
WBGene00000390,29672,60556,3883,14032,7680,5376
WBGene00000391,3011,9440,794,550,1241,162
WBGene00000392,1181,2131,1145,1317,1001,1226
WBGene00000393,4623,12298,1610,2708,1768,1021
WBGene00000395,38525,3177,2309,841,2985,419
WBGene00000396,83580,27975,9555,4336,3415,5783
WBGene00000397,18763,1226,6381,700,1160,107
WBGene00000399,19,82,5818,335,11124,30
WBGene00000401,7238,5008,846,112,384,30
WBGene00000402,142,163,7474,597,12830,48
WBGene00000403,16456,400919,14798,60422,6821,2476
WBGene00000405,9445,3504,1977,3074,2099,7020
WBGene00000406,2820,1917,263,130,297,498
WBGene00000407,3411,11202,855,3638,1293,1361
WBGene00000408,3986,4128,557,3540,1241,1398
WBGene00000409,6061,4682,1068,3760,1749,3264
WBGene00000410,3675,4213,1377,3459,1457,1253
WBGene00000411,19880,14065,3868,4704,2577,9381
WBGene00000412,105,338,356,82,99,27
WBGene00000413,5416,2177,980,1768,1036,2908
WBGene00000414,26571,31068,1809,5210,1984,572
WBGene00000415,9231,64430,3359,10889,4312,6543
WBGene00000416,1592,3953,403,1729,584,1384
WBGene00000417,5597,2481,1034,2193,1005,9487
WBGene00000418,5362,4270,646,1879,881,1452
WBGene00000419,8282,10865,2968,5488,3630,4777
WBGene00000420,4352,10023,695,1928,1322,1634
WBGene00000421,13837,20459,6648,23682,7514,7738
WBGene00000422,2043,81,94,72,55,200
WBGene00000423,2912,3215,369,1394,457,1931
WBGene00000424,6087,16136,2048,2009,1862,1542
WBGene00000425,8164,2316,1408,2329,664,371
WBGene00000426,4872,7104,881,4506,1756,2319
WBGene00000427,19,4,1,0,0,0
WBGene00000428,43,371,31,55,20,5
WBGene00000429,1102,261,35,44,26,2
WBGene00000430,2721,28,10,25,11,13
WBGene00000431,3510,5383,494,882,195,15
WBGene00000432,8,5,1,16,1,1
WBGene00000433,2387,2563,132,299,11,5
WBGene00000434,74,212,79,76,35,4
WBGene00000435,1544,2512,67,307,37,18
WBGene00000436,12,9,16,92,21,3
WBGene00000437,8153,9320,1282,3338,436,95
WBGene00000438,1104,16519,269,672,216,56
WBGene00000439,2613,2606,169,790,26,21
WBGene00000440,1293,332,111,183,19,2
WBGene00000441,374,25291,2819,5491,1773,362
WBGene00000442,462,401,47,408,106,29
WBGene00000443,33153,27807,3104,5089,1611,370
WBGene00000444,1216,3939,346,827,230,1159
WBGene00000445,4863,3361,212,474,160,14
WBGene00000446,6,1824,183,344,57,16
WBGene00000447,1048,1048,89,333,75,6
WBGene00000448,17600,19571,1306,2495,475,50
WBGene00000449,7071,5053,311,1023,145,24
WBGene00000450,44,35,7,4,0,0
WBGene00000451,2168,258,55,84,66,19
