,elongating embryo Ce,L1 larva Ce,L2 larva Ce,dauer larva Ce,L3 larva Ce,adult Ce
WBGene00007741,2904,533,119,603,130,21
WBGene00007742,41,67,29,41,7,2
WBGene00007743,2188,2766,768,825,1524,203
WBGene00007744,443,503,108,670,148,110
WBGene00007745,1390,3213,279,1056,504,95
WBGene00007746,1477,5400,959,3475,1252,239
WBGene00007747,7,22,2,6,0,0
WBGene00007748,72,3938,315,400,953,252
WBGene00007749,402,3885,220,525,596,158
WBGene00007750,24832,7243,1853,2025,1393,237
WBGene00007751,403,2161,161,330,90,961
WBGene00007752,18558,35804,5397,15455,4330,3568
WBGene00007753,406,1903,446,1088,1864,391
WBGene00007754,689,40,373,15,49,1
WBGene00007755,114,631,311,493,300,44
WBGene00007756,463,5638,890,2669,2445,1850
WBGene00007757,243,1247,127,918,153,1537
WBGene00007758,104,581,32,422,17,49
WBGene00007759,0,39,3,313,0,0
WBGene00007760,1752,1011,482,1705,793,584
WBGene00007761,14746,11224,2257,9019,2799,4182
WBGene00007762,473,307,285,1756,1340,3178
WBGene00007763,72,393,14,73,74,105
WBGene00007764,3822,5846,722,4297,992,248
WBGene00007765,137,456,35,8358,46,357
WBGene00007766,137,293,144,1055,1731,0
WBGene00007768,2,1,6,3,1,2
WBGene00007769,3,1,1,0,2,3
WBGene00007771,1115,2117,201,290,193,402
WBGene00007772,1466,38426,1043,2675,1016,880
WBGene00007773,91,80,5,26,38,846
WBGene00007774,4096,3848,617,1503,1153,592
WBGene00007775,103,747,299,289,470,72
WBGene00007776,1482,4064,113,119,53,7
WBGene00007777,24,148,20,25,358,561
WBGene00007778,676,5652,56,129,323,551
WBGene00007779,4577,17917,2607,5020,2998,1105
WBGene00007780,592,2125,284,1163,686,837
WBGene00007784,6933,11705,2457,5785,3957,4696
WBGene00007785,923,1386,245,4891,1770,1533
WBGene00007786,6797,11338,2380,8579,6473,5046
WBGene00007787,5232,5656,3159,9666,4697,3885
WBGene00007788,483,186,73,651,498,1086
WBGene00007789,294,89,66,567,421,675
WBGene00007791,34,158,28,181,489,194
WBGene00007792,0,7,5,9,57,21
WBGene00007793,0,6,2,8,128,62
WBGene00007794,1,6,1,1,62,106
WBGene00007795,0,5,3,7,10,8
WBGene00007796,40,41,4,86,4,1
WBGene00007797,326,728,55,262,414,1293
WBGene00007799,3042,29952,2600,6032,1096,241
WBGene00007800,6615,1698,149,164,38,0
WBGene00007801,4453,4344,699,1978,1668,143
WBGene00007802,270,82,179,118,81,1
WBGene00007804,1,56,54,6,212,0
WBGene00007805,1,1,6,0,0,1
WBGene00007806,69,21,373,29,115,2
WBGene00007807,459,16068,6518,143,6139,643
WBGene00007808,93,251,166,34,703,134
WBGene00007809,4,647,85,339,44,10
WBGene00007810,644,1424,313,4314,478,83
WBGene00007811,2670,8866,10291,4946,4788,734
WBGene00007812,9358,3287,1091,746,2517,1478
WBGene00007813,587,5772,303,672,244,155
WBGene00007816,55,1347,78,173,36,4
WBGene00007817,40,8185,334,130,668,50
WBGene00007818,9,559,164,1606,72,11
WBGene00007819,699,421,191,109,118,49
WBGene00007820,4,3229,581,463,417,128
WBGene00007822,17,117,15,24,1,0
WBGene00007823,19,175,347,218,487,8
WBGene00007824,7061,23287,3962,18342,7166,2581
WBGene00007825,1452,628,249,1390,621,381
WBGene00007826,1967,2547,460,1366,703,292
WBGene00007827,72,1808,223,1002,105,20
WBGene00007829,25,7,8,1,5,3
WBGene00007831,0,9,0,1,0,0
WBGene00007832,3,57,5,31,0,1
WBGene00007833,32,490,78,10,349,119
WBGene00007834,1,90,6,25,4,0
WBGene00007835,44,737,34,38,102,24
WBGene00007836,3729,6095,7032,4327,6029,4023
WBGene00007837,2741,2896,182,1028,342,51
WBGene00007840,32,7820,468,196,397,113
WBGene00007841,1238,2352,793,6157,693,166
WBGene00007842,10,52,2,581,0,1
WBGene00007844,2,341,13,157,20,2
WBGene00007845,1,186,7,51,5,0
WBGene00007846,5675,7286,917,1562,942,1097
WBGene00007847,4665,6232,419,962,595,373
WBGene00007848,16314,7392,4723,7785,8633,2002
WBGene00007849,850,3985,173,3377,322,186
WBGene00007850,114,13,5,5,1,109
WBGene00007851,0,10,11,13,26,14
WBGene00007852,1,0,0,1,0,0
WBGene00007853,40,145,12,3,49,14
WBGene00007854,26,437,53,562,22,5
WBGene00007855,11990,2122,258,2207,486,434
WBGene00007856,2423,11738,310,1445,217,82
WBGene00007857,29,9522,1310,2116,2271,401
WBGene00007858,235,224,16,962,21,5
WBGene00007859,1439,1578,925,1109,833,545
WBGene00007860,1629,11859,856,2783,1035,1249
WBGene00007861,46,889,12,372,5,1
WBGene00007862,230,3560,256,2345,127,23
WBGene00007863,671,50,12,9,47,59
WBGene00007864,1,382,80,3,13,2
WBGene00007865,0,9,2,0,0,0
WBGene00007866,10,329,26,54,53,13
WBGene00007867,408,2108,739,26,436,443
WBGene00007868,105,64,845,20,193,6
WBGene00007869,50,8,115,13,29,1
WBGene00007870,16,7,2,18,10,12
WBGene00007872,0,2,10,1,10,0
WBGene00007873,0,8,16,1,13,1
WBGene00007874,1,0,27,2,1,0
WBGene00007875,43,2880,1078,178,1021,706
WBGene00007876,1,3,13,1,5,2
WBGene00007877,3082,168815,4222,33647,3235,1222
WBGene00007878,1010,9933,102,681,205,363
WBGene00007880,6141,5975,2432,4605,3444,1577
WBGene00007881,343,5612,928,4377,357,51
WBGene00007882,5613,20522,1759,3762,2169,1694
WBGene00007883,1576,10098,567,4833,833,170
WBGene00007885,769,666,1862,187,1179,110
WBGene00007886,1570,1531,246,3112,491,217
WBGene00007887,67,25,7,4,0,136
WBGene00007888,5,58,5,2,78,20
WBGene00007890,40,1823,233,2542,302,158
WBGene00007891,48,96,101,5,119,4
WBGene00007892,380,2025,261,1801,292,206
WBGene00007893,27,97,8,32,5,0
WBGene00007894,136,155,238,60,752,27
WBGene00007895,2,44,13,2,110,0
WBGene00007896,9,239,24,25,10,2
WBGene00007897,1,44,5,25,2,1
WBGene00007898,105,3772,2000,9362,2550,204
WBGene00007900,24372,8505,527,2306,269,83
WBGene00007901,1412,291,26,158,70,11
WBGene00007903,247,700,1374,901,1843,30
WBGene00007904,4580,1603,654,517,1412,233
WBGene00007905,0,10,3,5,4,19
WBGene00007906,2922,2151,417,2251,798,271
WBGene00007907,1983,36949,4880,3665,2711,1954
WBGene00007908,107,4360,326,657,175,35
WBGene00007909,26,124,139,70,41,9
WBGene00007910,50,100,13,78,25,7
WBGene00007911,389,4038,225,163,223,136
WBGene00007912,5244,2954,2379,4322,2794,2506
WBGene00007913,20,4368,915,1101,577,174
WBGene00007914,1829,2218,481,1188,361,867
WBGene00007916,1129,3804,1454,2176,413,44
WBGene00007917,1741,4955,1738,3499,2607,1486
WBGene00007918,3366,5922,598,3430,1429,607
WBGene00007919,329,7327,149,8965,206,120
WBGene00007920,3,19,5,13,5,2
WBGene00007921,2942,2596,708,3847,1268,1325
WBGene00007922,4154,6486,1220,2202,1393,1339
WBGene00007923,2099,3394,853,1653,1350,971
WBGene00007924,12612,15471,1957,1700,3323,898
WBGene00007925,8189,2024,2672,619,1642,65
WBGene00007926,89,795,257,816,902,108
WBGene00007927,1828,3257,1567,1963,3104,1189
WBGene00007928,53,927,78,167,64,58
WBGene00007929,96,6617,349,25459,113,31
WBGene00007930,5,24,10,81,7,1
WBGene00007931,223,7823,337,4004,314,131
WBGene00007932,802,2472,261,2602,310,57
WBGene00007933,18,565,94,939,73,12
WBGene00007934,9240,13112,4495,2967,5435,624
WBGene00007935,853,1820,428,390,430,44
WBGene00007937,209,69,28,188,66,15
WBGene00007938,908,155,7266,115,3719,41
WBGene00007939,3345,2433,203,552,283,101
WBGene00007941,2325,6804,900,1466,1758,934
WBGene00007942,6926,4980,2912,1473,4476,1356
WBGene00007943,5746,5642,2456,3504,1692,505
WBGene00007944,9371,31640,3896,8211,5321,1330
WBGene00007945,739,986,122,758,317,83
WBGene00007946,529,116,236,3450,176,22
WBGene00007947,229,1232,489,6494,750,544
WBGene00007948,4,54,8,4,135,20
WBGene00007949,2397,119,388,28,68,3
WBGene00007950,289,1272,407,1967,326,79
WBGene00007951,457,2667,379,2602,259,34
WBGene00007952,12763,8977,4736,11154,9397,9742
WBGene00007953,738,1487,98,741,113,39
WBGene00007954,1,150,18,190,13,2
WBGene00007955,23405,23010,4403,5930,4468,1675
WBGene00007956,5903,8209,1270,2981,1023,1320
WBGene00007957,145,1058,158,1428,280,268
WBGene00007958,1,8783,383,12303,815,613
WBGene00007959,3504,8743,935,7811,1395,681
WBGene00007960,6,11,1,6,1,20
WBGene00007961,38,62,2,3,0,33
WBGene00007962,15,16,5,15,15,7
WBGene00007963,5,210,64,49,133,289
WBGene00007964,421,1653,522,99,621,192
WBGene00007965,878,2801,747,2874,1346,3196
WBGene00007966,815,1213,700,737,927,6127
WBGene00007967,762,1806,140,938,155,27
WBGene00007969,2078,58620,10599,12674,20755,19524
WBGene00007970,118,130,5,132,18,7
WBGene00007971,6643,4082,1291,3613,2479,4044
WBGene00007972,2639,1882,660,2108,1543,1645
WBGene00007973,15,1516,103,122,308,115
WBGene00007974,2620,1108,585,1865,956,974
WBGene00007975,10748,14125,2498,6259,5215,8165
WBGene00007976,5145,5564,1959,2845,1683,920
WBGene00007977,27,522,25,59,249,478
WBGene00007978,2027,832,637,1384,1084,3659
WBGene00007979,14606,12695,1734,5106,3066,10847
WBGene00007980,14065,25009,4255,46925,9448,4460
WBGene00007981,1521,15631,533,6720,363,48
WBGene00007982,10804,12708,1426,1881,1231,679
WBGene00007983,7080,2910,493,977,653,126
WBGene00007984,15999,21199,1928,2801,1391,263
WBGene00007985,383,622,45,370,217,634
WBGene00007986,36,9,3,37,60,44
WBGene00007987,31,39,0,5,577,957
WBGene00007988,1046,906,161,1150,364,62
WBGene00007989,62,4098,35,1292,3,8
WBGene00007990,8,1620,8,1078,0,0
WBGene00007991,220,635,112,506,222,222
WBGene00007992,6,1959,49,356,22,5
WBGene00007993,8523,81562,8036,14900,8100,4105
WBGene00007994,4787,311,227,259,453,11
WBGene00007995,14,10,10,1,32,1
WBGene00007996,560,44,499,18,159,3
WBGene00007997,23,161,30,114,17,3
WBGene00007998,0,25,7,0,65,6
WBGene00007999,11823,351,6561,357,5022,100
WBGene00008000,4737,17478,2299,5781,6041,8984
WBGene00008001,0,168,7,6,125,334
WBGene00008002,321,1373,280,794,82,18
WBGene00008003,385,700,102,425,158,477
WBGene00008005,414,321,226,3271,1524,3475
WBGene00008006,9170,15841,1831,5593,2455,3258
WBGene00008007,48,48,20,361,311,48
WBGene00008009,2,162,1,17,2,0
WBGene00008010,68,989,180,918,299,537
WBGene00008012,0,8,4,10,4,0
WBGene00008014,3,216,23,27,69,13
WBGene00008015,4,67,3,57,2,5
WBGene00008016,19,115,2,9,1,28
WBGene00008017,1,869,10,128,21,8
WBGene00008018,74,18494,536,4521,331,177
WBGene00008019,7619,17181,2499,4815,2836,816
WBGene00008020,414,2513,232,1763,236,37
WBGene00008021,300,2236,151,429,181,21
WBGene00008022,17,1753,144,612,88,9
WBGene00008023,84,152,27,32,33,5
WBGene00008024,4,9,6,3,2,0
WBGene00008025,2,72,95,109,31,1
WBGene00008027,0,6156,328,124,327,98
WBGene00008028,0,496,394,6,545,25
WBGene00008029,0,14,3,1,1,18
WBGene00008030,0,60,4,11,1,17
WBGene00008031,13,7706,480,1559,417,81
WBGene00008032,138,12049,2301,831,3839,1526
WBGene00008033,3102,739,470,147,805,99
WBGene00008035,2835,1575,859,1714,1079,4142
WBGene00008036,1,21,3,2,2,6
WBGene00008037,0,58,6,54,4,0
WBGene00008038,1,37,12,60,209,48
WBGene00008039,19,383,24,91,14,7
WBGene00008040,419,31670,606,7405,1063,550
WBGene00008041,9368,3876,2209,3844,2229,864
WBGene00008042,64,216,556,6,1577,409
WBGene00008043,33,655,3834,36,2904,24
WBGene00008044,601,1297,92,1713,23,3
WBGene00008045,131,1213,219,752,131,31
WBGene00008047,133,1265,306,100,268,22
WBGene00008048,3,4,2,1,9,31
WBGene00008049,80,186,28,29,8,4
WBGene00008050,16,374,44,320,86,15
WBGene00008051,19,1112,151,30,120,18
WBGene00008052,1504,3550,1041,15022,2050,3241
WBGene00008053,8100,8954,11345,13420,20165,21390
WBGene00008054,0,8,1,38,0,0
WBGene00008056,20,8,8,56,3,1
WBGene00008057,0,101,4,89,1,0
WBGene00008059,0,0,0,11,0,0
WBGene00008061,504,334,120,1096,1026,3173
WBGene00008062,345,408,116,1627,494,571
WBGene00008063,15,80,7,13,253,226
WBGene00008064,34,616,26,45,12,1
WBGene00008065,52,2898,164,2450,112,23
WBGene00008066,316,151,59,64,1,31
WBGene00008067,4,8,5,1,1,1
WBGene00008068,56,5,10,2,107,56
WBGene00008069,1,12,4,7,3,3
WBGene00008070,397,16,2,0,0,11
WBGene00008071,15,7,2,0,0,4
WBGene00008072,0,13,5,60,9,5
WBGene00008073,1,1489,45,50,107,26
WBGene00008074,4,31,5,9,187,191
WBGene00008075,2,338,80,319,72,13
WBGene00008076,1424,773,506,1350,879,100
WBGene00008077,40,46,41,177,18,17
WBGene00008078,4208,3423,541,1015,556,490
WBGene00008079,53,120,39,75,840,102
WBGene00008080,580,303,93,151,151,1927
WBGene00008081,3430,7477,597,1693,1251,2534
WBGene00008082,813,2052,232,1157,382,1274
WBGene00008083,1,78,13,35,26,2
WBGene00008084,0,107,25,940,186,37
WBGene00008085,1940,1597,202,633,233,338
WBGene00008086,95,353,18,40,12,67
WBGene00008087,0,5,1,0,0,1
WBGene00008088,5,18,4,2,2,1
WBGene00008089,730,21441,1362,1312,2089,498
WBGene00008090,10,10,1,3,0,2
WBGene00008091,4956,889,463,7682,1469,99
WBGene00008092,13,76,6,4,220,7
WBGene00008093,3433,689,554,68,141,6
WBGene00008094,9082,8110,2271,2800,1936,1243
WBGene00008095,565,1057,111,749,87,11
WBGene00008096,6,1368,115,224,70,6
WBGene00008097,1,164,14,21,4,10
WBGene00008099,6,471,71,410,350,105
WBGene00008100,636,10745,510,928,231,133
WBGene00008101,1032,1090,302,732,875,136
WBGene00008102,13827,315,31,217,21,1
WBGene00008105,44,104,12,14,15,9
WBGene00008106,17,12,6,102,5,16
WBGene00008107,5969,1706,1259,2919,2267,3772
WBGene00008110,42426,22116,6704,8755,7191,2705
WBGene00008111,34,251,42,121,77,36
WBGene00008113,4,7,1,2,11,147
WBGene00008114,20,83,35,84,21,14
WBGene00008117,3827,28332,4539,5544,7884,7809
WBGene00008118,449,577,386,1322,344,417
WBGene00008119,4252,6586,716,3312,1720,1444
WBGene00008120,5586,7677,827,2615,1277,1054
WBGene00008121,12700,42943,1275,8057,889,186
WBGene00008122,22,4,1,0,0,0
WBGene00008123,33,1979,964,13,1826,263
WBGene00008124,3,10,9,10,59,131
WBGene00008125,0,0,0,0,8,19
WBGene00008126,0,81,3,39,1,0
WBGene00008127,0,1168,162,185,627,92
WBGene00008128,2,1318,82,799,41,5
WBGene00008129,1,290,37,30,15,2
WBGene00008130,119,205,25,1278,142,117
WBGene00008131,2114,6148,886,5349,1693,1580
WBGene00008132,6807,5605,4692,2065,9991,1499
WBGene00008133,476,1035,141,1472,357,413
WBGene00008134,960,712,482,847,593,276
WBGene00008136,12874,10246,3699,6440,5495,5408
WBGene00008137,85,250,10,87,270,302
WBGene00008138,1419,16,4,14,0,58
WBGene00008139,204,1938,34,1933,303,431
WBGene00008140,2020,4373,497,2493,1310,2050
WBGene00008141,5,38,2,7,141,100
WBGene00008142,33,1879,125,1835,141,22
WBGene00008143,2916,1292,590,2332,878,1146
WBGene00008144,1037,389,23,85,10,1
WBGene00008145,866,1117,195,1731,685,992
WBGene00008146,333,418,60,60,45,2
WBGene00008147,3132,3540,488,2311,1054,1288
WBGene00008148,1861,7310,1448,2388,2406,1272
WBGene00008149,16643,35190,12442,15081,18074,8495
WBGene00008150,407,126,793,207,486,14
WBGene00008151,4945,15181,1040,4783,1781,609
WBGene00008152,0,267,61,201,113,10
WBGene00008153,0,79,4,17,39,16
WBGene00008154,0,5,7,4,67,44
WBGene00008155,5,117,8,100,41,13
WBGene00008156,1923,5,1,15,0,0
WBGene00008157,205,49,6,8,0,72
WBGene00008158,53,6,5,3,1,1
WBGene00008159,0,6,1,0,0,0
WBGene00008160,7,3,4,0,0,1
WBGene00008161,1,6,10,0,7,0
WBGene00008162,5,1,0,2,0,1
WBGene00008163,516,20,8,0,4,1
WBGene00008164,1828,2691,611,2782,1268,847
WBGene00008165,6869,4849,1141,3661,1534,2677
WBGene00008166,10670,21347,3187,5847,4086,6524
WBGene00008167,1648,6073,2424,1678,8245,778
WBGene00008168,5792,454,224,529,50,15
WBGene00008169,333,5681,134,3065,758,1043
WBGene00008170,708,386,220,1944,500,1423
WBGene00008171,225,65,61,559,341,377
WBGene00008172,506,578,88,903,432,650
WBGene00008173,526,943,210,2075,1300,1363
WBGene00008174,586,492,147,1188,795,1335
WBGene00008175,13,77,3,101,1,44
WBGene00008176,45,249,164,253,210,7
WBGene00008177,5309,5872,483,2728,259,140
WBGene00008178,1030,87,37,137,31,96
WBGene00008180,23,61,512,7,272,1
WBGene00008183,33428,26369,4118,8592,5479,8522
WBGene00008184,13,133,6,6,9,0
WBGene00008185,2,73,8,5,112,33
WBGene00008186,40,26,10,5,274,30
WBGene00008187,24,338,14,2,0,0
WBGene00008188,2,17,1,12,1,0
WBGene00008190,5,72,4,0,0,2
WBGene00008191,3454,5181,585,1960,1188,184
WBGene00008194,3096,50461,10802,5006,23365,6991
WBGene00008195,1722,2615,212,1527,391,89
WBGene00008196,2190,1906,157,1427,436,960
WBGene00008197,2062,1241,238,2141,656,870
WBGene00008198,4087,1526,201,3356,364,82
WBGene00008199,675,2239,300,194,2509,186
WBGene00008200,421,1940,351,1225,870,168
WBGene00008201,68,15,3,8,3,30
WBGene00008202,4,76,4,25,8,99
WBGene00008203,11,2964,229,46,175,53
WBGene00008204,1613,1099,150,1087,209,76
WBGene00008205,16911,59735,33450,23328,77156,14984
WBGene00008206,3958,3441,634,1705,628,275
WBGene00008207,333,51,12,23,40,457
WBGene00008208,1,610,47,183,46,3
WBGene00008209,15,15,4,2,24,6
WBGene00008210,630,930,111,64,140,1684
WBGene00008211,0,5200,389,1957,2070,2350
WBGene00008212,101,111,60,51,63,3
WBGene00008213,157,2855,360,1496,272,57
WBGene00008214,922,10857,751,3195,792,755
WBGene00008215,3137,5433,2150,579,1859,74
WBGene00008216,12,191,45,58,47,10
WBGene00008217,0,18,1,0,1,2
WBGene00008218,4917,2432,1119,2483,1419,33696
WBGene00008219,4951,5770,650,2702,853,2506
WBGene00008220,119,5862,684,477,2690,1585
WBGene00008221,1498,1316,183,153,191,30
WBGene00008222,3217,214,92,27,84,16
WBGene00008223,0,190,9,193,6,0
WBGene00008224,4853,12501,1146,10655,1928,2313
WBGene00008225,2028,3626,353,3572,723,376
WBGene00008226,3291,1116,223,887,277,17
WBGene00008227,1008,1742,216,796,369,60
WBGene00008228,2890,8262,486,727,606,214
WBGene00008229,110,11618,1266,2835,4471,910
WBGene00008230,21,4749,41,307,578,452
WBGene00008231,26,206,10,9,7,27
WBGene00008232,989,707,77,627,193,267
WBGene00008233,43,8800,856,1336,2538,1014
WBGene00008234,250,381,87,150,68,22
WBGene00008235,4,444,9,95,178,120
WBGene00008236,796,573,255,1265,315,549
WBGene00008237,5124,4398,1246,2601,2627,1611
WBGene00008238,1436,5343,1111,5556,1643,1084
WBGene00008239,1614,16853,2129,4691,2681,791
WBGene00008240,222,545,18,312,8,3
WBGene00008241,40,6,2,6,0,0
WBGene00008242,13,40,1,3,0,0
WBGene00008243,1,4,1,0,21,5
WBGene00008244,1,75,13,13,278,17
WBGene00008245,4,24,23,4,505,18
WBGene00008246,173,2207,391,57,428,79
WBGene00008247,0,108,25,108,32,1
WBGene00008248,25,558,58,97,60,10
WBGene00008249,1,108,21,21,13,1
WBGene00008250,0,135,5,6,4,1
WBGene00008251,2,229,25,155,30,1
WBGene00008252,2317,1124,441,2760,456,259
WBGene00008254,626,6061,1511,3453,2125,183
WBGene00008255,1499,587,239,641,637,84
WBGene00008256,80,1053,73,661,51,2
WBGene00008257,0,727,10,27,1,1
WBGene00008258,5920,5863,2695,4486,5547,694
WBGene00008259,45,17,4,19,242,222
WBGene00008260,7759,291,2493,515,2661,379
WBGene00008261,3,121,17,74,13,3
WBGene00008262,14685,72292,12304,21259,20056,7832
WBGene00008263,9718,172,30,56,54,23
WBGene00008265,31,2202,195,1518,234,50
WBGene00008266,4143,15684,710,2416,1031,1764
WBGene00008267,151,155,11,92,5,1
WBGene00008268,0,16,12,213,0,0
WBGene00008269,34,490,64,65,2,0
WBGene00008270,376,3343,710,2725,1366,328
WBGene00008271,4,261,111,77,42,3
WBGene00008272,0,50,10,13,104,26
WBGene00008273,2657,1949,680,1406,1567,192
WBGene00008274,10571,49834,7589,14502,6039,8553
WBGene00008275,1699,3132,331,1397,483,405
WBGene00008277,1084,44,230,38,435,12
WBGene00008278,86,2091,65,648,101,75
WBGene00008279,32,148,30,30,0,1
WBGene00008280,12,441,70,173,52,6
WBGene00008281,2282,1904,434,1437,1048,1091
WBGene00008283,3452,861,350,1438,395,229
WBGene00008284,4,1023,321,3152,1240,231
WBGene00008285,713,18,3,4,0,1
WBGene00008286,4,70,5,90,1,0
WBGene00008287,2,1073,107,510,118,18
WBGene00008288,2447,2369,512,1412,457,457
WBGene00008289,27,3,7,0,0,1
WBGene00008290,0,5,192,2,77,2
WBGene00008291,20,1,1,0,0,0
WBGene00008292,1798,9,342,14,169,1
WBGene00008293,1,8,2,0,1,0
WBGene00008294,0,8,5,65,0,1
WBGene00008295,0,5,0,8,4,1
WBGene00008296,604,1166,981,2635,1382,121
WBGene00008297,1,3,4,3634,1,1
WBGene00008298,2,12588,4875,2794,6486,1239
WBGene00008299,3,7,1,1,108,63
WBGene00008300,163,4884,275,1058,108,10
WBGene00008301,33,435,63,661,188,9
WBGene00008302,50,268,30,706,49,3
WBGene00008303,26,360,16,301,38,9
WBGene00008304,1159,6481,93,5670,421,25
WBGene00008306,23,286,20,139,11,1
WBGene00008307,47,2250,115,1104,74,11
WBGene00008308,7,290,18,149,11,3
WBGene00008309,489,1519,66,518,128,21
WBGene00008310,6617,1142,176,193,186,25
WBGene00008311,3135,62624,4342,34849,6485,2144
WBGene00008312,0,29,4,0,112,48
WBGene00008313,1,20,6,3,151,207
WBGene00008314,1250,2556,825,756,429,42
WBGene00008315,85,432,211,607,104,16
WBGene00008316,662,718,178,307,273,172
WBGene00008317,1920,6296,903,4456,1322,1106
WBGene00008318,1574,675,257,2239,640,400
WBGene00008319,130,51,18,66,18,6
WBGene00008320,1110,13061,176,3124,283,108
WBGene00008321,0,25,2,93,0,0
WBGene00008322,1,62,1,7,0,0
WBGene00008323,185,501,13,44,3,0
WBGene00008324,40,56,0,78,1,0
WBGene00008325,5,245,3,3,0,0
WBGene00008326,1,304,1,2,0,0
WBGene00008327,19,23,6,25,3,4
WBGene00008328,0,20,5,1,1,3
WBGene00008330,1638,3551,519,1632,1442,2946
WBGene00008331,7726,17850,2356,8135,3523,2838
WBGene00008332,52,777,74,1796,239,136
WBGene00008333,38,1024,189,22,1030,213
WBGene00008334,5555,1594,204,2204,673,39
WBGene00008335,3701,2552,190,2356,517,66
WBGene00008336,1316,1087,569,470,750,113
WBGene00008338,5983,3167,910,4025,2000,2109
WBGene00008339,3394,6492,794,3906,1369,1220
WBGene00008340,77,179,18,117,64,52
WBGene00008341,61,18385,4486,12382,2945,805
WBGene00008342,18,5371,531,1370,246,62
WBGene00008343,1414,8706,482,2520,438,1133
WBGene00008344,2640,3908,829,4655,1375,1046
WBGene00008345,4176,5754,1451,9475,1730,1446
WBGene00008346,126,691,79,870,632,1003
WBGene00008348,1505,4919,520,1051,455,212
WBGene00008349,39,85,9,51,45,15
WBGene00008352,674,3927,744,391,505,46
WBGene00008353,3191,4881,354,1045,430,160
WBGene00008354,395,769,418,7,1324,216
WBGene00008355,615,325,53,163,79,26
WBGene00008356,1,4708,2736,20,1927,461
WBGene00008357,2,1191,835,2,308,234
WBGene00008358,0,1274,428,1,317,205
WBGene00008359,0,4286,1636,10,905,297
WBGene00008360,0,779,690,8,371,198
WBGene00008362,8038,17523,2702,7003,3008,5174
WBGene00008363,3068,2494,351,1921,818,1747
WBGene00008364,1937,3531,383,1735,708,422
WBGene00008365,119,903,94,302,255,79
WBGene00008366,1056,29346,1705,4923,1563,344
WBGene00008367,6,44,3,5,1,1
WBGene00008368,150,1541,340,897,543,46
WBGene00008369,2317,1731,242,168,407,53
WBGene00008370,3638,1295,493,1932,1200,238
WBGene00008371,5170,11106,1488,4805,1767,2272
WBGene00008372,492,1877,261,323,467,172
WBGene00008374,2,36,6,172,6,0
WBGene00008375,227,2189,950,1086,2002,392
WBGene00008376,2019,381,5115,68,1517,34
WBGene00008377,2,29,6,51,155,13330
WBGene00008378,0,29,6,80,107,18671
WBGene00008379,868,1224,212,1596,515,664
WBGene00008380,5069,3097,815,2528,1320,2405
WBGene00008381,1,14,7,1,46,74
WBGene00008382,62,856,56,538,42,4
WBGene00008383,59,7,3,40,197,214
WBGene00008384,234,230,25,394,85,190
WBGene00008385,1234,1128,404,3842,3309,11545
WBGene00008386,12699,13487,3832,10775,5936,8751
WBGene00008387,414,1546,49,494,348,609
WBGene00008388,4,1458,19,2442,68,149
WBGene00008389,10,2463,25,3757,65,28
WBGene00008390,81,174,186,381,4840,795
WBGene00008392,11,3314,167,2932,378,66
WBGene00008393,0,32,9,13,22,3648
WBGene00008394,15,7,5,88,41,1538
WBGene00008395,748,1975,510,3243,1275,154
WBGene00008396,2,736,9,146237,2,2
WBGene00008397,7,6,0,2,3,0
WBGene00008398,2888,5424,456,6615,1216,909
WBGene00008399,712,1008,281,2770,2254,2325
WBGene00008400,3186,2598,2132,5994,3880,3839
WBGene00008401,7076,881,749,169,505,66
WBGene00008402,3641,9912,1338,6548,2429,3268
WBGene00008403,316,543,52,493,64,78
WBGene00008404,7633,17596,2285,5108,2149,1107
WBGene00008405,1760,11522,2616,10159,4505,2433
WBGene00008407,303,2456,302,1064,141,21
WBGene00008408,1426,2124,856,1667,1821,634
WBGene00008409,2004,1232,1024,2437,2042,707
WBGene00008410,1226,1922,621,2442,1874,1450
WBGene00008411,6077,4684,1595,3498,3244,2308
WBGene00008412,5650,20515,2384,28111,3643,3807
WBGene00008413,4619,2889,856,4172,1680,1253
WBGene00008414,8304,17582,3368,8283,6294,4421
WBGene00008415,4904,15365,1893,4639,2843,1759
WBGene00008417,595,1347,167,3303,1069,2239
WBGene00008418,2296,2282,353,2575,1065,2164
WBGene00008419,9500,31711,3256,24230,3111,3874
WBGene00008420,1382,942,150,747,340,207
WBGene00008421,241,1140,99,1639,127,37
WBGene00008422,9127,6435,2727,6326,4862,9102
WBGene00008423,12,122,9,29,33,106
WBGene00008424,1174,917,156,397,302,115
WBGene00008425,77,1464,548,226,353,88
WBGene00008426,7307,2497,436,624,904,92
WBGene00008427,136,160,46,178,67,51
WBGene00008428,3982,2922,1585,2816,2801,1309
WBGene00008429,7780,5982,1828,6660,3216,2226
WBGene00008430,16615,24298,7840,9944,7137,3978
WBGene00008431,1451,994,297,871,782,638
WBGene00008432,976,2211,221,2378,280,78
WBGene00008433,27,327,63,20,31,35
WBGene00008434,1363,2789,291,1051,173,151
WBGene00008435,50,5123,330,7253,1224,555
WBGene00008436,1050,6393,763,10657,1507,1085
WBGene00008438,1862,34488,2818,11089,1540,340
WBGene00008439,5659,66631,1870,8014,348,288
WBGene00008440,1582,1028,188,772,229,2604
WBGene00008441,2003,4825,715,1287,1447,2358
WBGene00008442,1496,629,228,781,523,272
